"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1634,1718,164,1592,1757,158,1791,1895,157
"Belgium",NA,NA,NA,1902,2062,156,1958,2174,151,1985,2157,150
"Bulgaria",221,89,179,297,113,170,433,192,154,519,248,178
"Croatia",NA,NA,NA,NA,NA,NA,1003,706,169,NA,NA,NA
"Cyprus",NA,NA,NA,931,1410,177,1609,1429,176,1249,1125,168
"Czech Rep.",627,324,170,778,473,170,898,650,172,954,608,171
"Denmark",NA,NA,NA,1673,2294,113,1790,2444,104,1668,2322,95
"Estonia",NA,NA,NA,631,403,165,768,527,161,970,733,172
"Finland",NA,NA,NA,1701,1984,158,1867,2230,157,1993,2437,160
"France",NA,NA,NA,1417,1571,145,1337,1503,139,1590,1713,142
"Germany",NA,NA,NA,1747,1796,145,1508,1575,141,1094,1110,98
"Greece",NA,NA,NA,1713,1470,176,1407,1295,167,1231,1051,164
"Hungary",529,284,181,569,340,173,660,394,158,803,462,162
"Iceland",NA,NA,NA,1610,2413,179,1515,1618,170,1899,2241,184
"Ireland",1739,2051,157,2114,2555,164,2218,2452,159,2194,2683,147
"Italy",NA,NA,NA,1502,1537,162,1602,1639,163,1663,1711,171
"Latvia",NA,NA,NA,542,312,167,422,384,150,664,466,155
"Lithuania",363,179,169,561,303,166,525,311,152,637,399,165
"Luxembourg",NA,NA,NA,1829,2053,165,1884,2279,161,1981,2386,176
"Macedonia",NA,NA,NA,NA,NA,NA,841,326,168,729,339,182
"Malta",NA,NA,NA,569,914,175,1432,1047,177,1322,1070,159
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,921,511,178
"Netherlands",1342,1369,123,1088,1159,111,1062,1184,106,1103,1211,101
"Norway",NA,NA,NA,1897,2515,134,2181,3222,140,2201,3224,137
"Poland",627,371,187,707,411,170,909,543,168,1105,617,181
"Portugal",NA,NA,NA,866,704,173,911,756,168,964,785,168
"Romania",257,106,190,366,183,179,472,234,169,534,284,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,863,435,184
"Slovakia",547,238,170,508,346,169,767,513,161,909,616,170
"Slovenia",1014,697,171,1019,761,178,1120,942,166,1299,1060,179
"Spain",1165,993,175,1307,1181,166,1387,1305,159,1420,1311,157
"Sweden",1754,2195,164,1687,2033,158,1748,2162,151,1847,2319,147
"Switzerland",NA,NA,NA,NA,NA,NA,2105,3020,158,2922,4350,160
"Turkey",NA,NA,NA,721,415,200,844,521,202,819,490,200
"United Kingdom",1753,2013,167,1858,2097,167,1506,1592,154,1470,1786,155
