"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,2184,2297,185,2195,2422,177,2470,2613,182
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,2206,2391,165,2340,2598,158,2535,2755,164
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",376,152,183,500,191,176,681,302,164,736,352,181
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,NA,NA,NA,1206,849,171,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,1127,1706,182,1876,1666,180,1620,1459,175
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",864,447,175,1046,636,175,1101,797,175,1217,776,174
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,2292,3144,137,2662,3636,134,2616,3640,135
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,976,624,179,1126,774,171,1355,1025,184
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,2177,2539,169,2457,2936,168,2572,3146,167
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,1847,2047,157,1792,2013,155,2035,2191,155
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,2369,2435,166,2316,2419,164,2420,2456,160
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,1883,1616,181,1972,1815,176,1769,1511,171
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",783,420,187,902,538,184,1052,628,169,1124,647,176
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,2179,3267,204,1886,2014,187,2286,2698,191
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",2024,2387,171,2498,3020,180,2695,2979,169,2588,3164,160
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,1966,2011,180,2031,2078,172,2072,2133,183
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,674,387,174,598,543,158,919,644,161
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",586,289,177,755,408,172,814,481,165,977,613,183
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,2398,2691,177,2355,2848,173,2568,3092,183
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,NA,NA,NA,966,374,166,824,383,181
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,731,1175,188,1820,1331,190,1747,1413,179
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1093,606,180
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",2196,2240,168,1992,2123,161,2148,2393,163,1986,2181,147
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,2685,3559,163,2744,4053,160,3032,4441,157
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",899,531,188,1013,589,180,1216,727,173,1491,833,188
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,1091,886,175,1138,943,176,1151,938,175
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",459,189,190,594,297,180,815,404,172,828,440,185
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1014,512,185
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",760,330,172,719,490,171,994,665,166,1149,779,173
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",1173,805,174,1308,976,180,1386,1166,169,1589,1297,180
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",1670,1423,182,1725,1558,169,1780,1675,165,1952,1802,165
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",1722,2155,170,2063,2486,171,2242,2774,170,2584,3244,172
"Switzerland","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,NA,NA,NA,2962,4248,176,3299,4911,174
"Turkey","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,866,498,204,NA,NA,NA,977,584,202
"United Kingdom","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","Total","Males",2248,2582,191,2414,2725,189,2134,2255,185,2161,2625,187
