"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,3031,3186,169,3035,3349,166,3256,3445,169
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,2749,2980,163,3033,3368,158,3235,3517,164
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",511,207,183,739,282,174,1095,486,165,1228,588,181
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,NA,NA,NA,1704,1200,170,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,1482,2243,165,2956,2625,168,2773,2498,170
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",1153,596,170,1527,928,170,1672,1210,170,1889,1203,170
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,3111,4267,154,3658,4996,155,3773,5250,155
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,1338,855,168,1550,1065,164,1879,1421,178
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,2517,2935,162,2820,3369,162,2982,3647,164
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,2390,2649,153,2398,2695,152,2667,2872,152
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,3402,3497,161,3767,3935,162,3727,3782,160
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,2183,1873,174,2295,2112,171,2286,1953,175
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",1118,599,184,1272,759,179,1477,882,167,1692,973,170
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,2886,4327,166,2701,2885,172,3347,3950,173
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",2942,3468,151,3371,4074,174,3612,3994,166,3325,4066,147
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,2606,2666,165,2741,2805,167,2951,3038,180
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,972,558,163,858,780,152,1349,946,162
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",685,337,162,904,488,156,1038,614,153,1178,739,167
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,3743,4202,171,3618,4376,167,3729,4491,182
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,NA,NA,NA,1428,553,169,1207,561,182
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,864,1388,174,2244,1641,181,2307,1866,171
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1607,892,179
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",2810,2865,157,2682,2859,154,2965,3303,154,3087,3390,154
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,3474,4606,160,3811,5629,160,4120,6034,158
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",1230,727,184,1367,795,170,1581,945,165,2009,1122,181
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,2092,1700,168,2062,1709,169,2077,1692,170
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",610,251,187,770,384,175,1037,514,165,1102,585,180
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1386,699,185
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",1094,476,173,1022,696,167,1549,1036,162,1697,1151,174
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",1888,1297,175,1975,1474,179,2085,1754,168,2371,1936,181
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",2485,2118,178,2440,2204,166,2439,2295,165,2627,2425,165
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",2374,2971,171,2676,3225,167,2903,3591,170,3215,4037,170
"Switzerland","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,NA,NA,NA,4048,5805,170,4380,6520,172
"Turkey","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",NA,NA,NA,1354,779,199,1541,952,199,1600,957,200
"United Kingdom","Industry, construction and services (except public administration, defense, compulsory social security)","Technicians and associate professionals","Total","Males",3214,3691,161,3266,3686,161,2944,3111,164,2712,3295,165
