"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,2399,2523,171,2450,2704,164,2794,2956,167
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,2505,2716,159,2751,3054,155,3006,3267,160
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",391,159,182,542,206,173,803,356,162,950,455,179
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,NA,NA,NA,1442,1016,169,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,1364,2065,171,2484,2207,171,2209,1990,169
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",1022,529,172,1320,803,172,1420,1028,172,1602,1020,171
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,2541,3485,136,3006,4105,136,2991,4162,131
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,1153,737,172,1378,947,164,1625,1229,177
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,2434,2839,163,2739,3272,161,2878,3520,161
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,2366,2622,155,2390,2686,152,2709,2917,154
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,2843,2923,160,2874,3003,157,3125,3172,154
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,2037,1749,171,2096,1929,165,1928,1647,164
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",937,502,185,1112,664,180,1351,807,166,1470,846,171
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,2354,3530,173,2211,2362,170,2570,3033,168
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",2578,3039,152,3074,3715,167,3411,3771,161,3177,3885,149
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,2197,2248,168,2346,2401,165,2536,2610,175
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,838,482,168,709,644,152,1114,781,159
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",682,336,171,927,501,167,983,581,156,1134,712,170
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,3031,3402,172,3128,3784,167,3509,4226,181
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,NA,NA,NA,1263,489,168,1101,512,182
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,800,1286,172,2044,1495,171,2102,1700,163
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1361,755,179
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",2459,2508,151,2231,2378,144,2565,2857,146,2698,2963,145
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,3038,4028,155,3160,4666,151,3465,5075,150
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",1059,626,184,1238,719,171,1447,865,165,1870,1044,180
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,1489,1210,170,1620,1343,168,1639,1335,168
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",513,211,189,692,345,178,936,464,169,988,525,183
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1183,597,184
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",904,393,173,878,599,170,1267,848,163,1500,1017,173
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",1535,1054,173,1676,1251,179,1790,1506,167,2012,1643,179
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",1928,1643,178,1974,1782,166,2106,1981,163,2223,2052,162
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",2132,2668,168,2418,2913,165,2605,3223,165,2956,3712,165
"Switzerland","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,NA,NA,NA,3454,4954,166,4110,6118,168
"Turkey","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",NA,NA,NA,1062,611,200,1218,752,200,1262,755,199
"United Kingdom","Industry, construction and services (except public administration, defense, compulsory social security)","Total","Total","Males",2951,3389,166,3181,3590,165,2898,3062,161,2779,3376,162
