"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Clerical support workers","Total","Males",2558,2552,172,2553,2685,168,2379,2625,164,2560,2709,164
"Belgium","Services of the business economy","Clerical support workers","Total","Males",2253,2256,170,2303,2497,160,2294,2547,152,2512,2731,161
"Bulgaria","Services of the business economy","Clerical support workers","Total","Males",280,114,178,463,177,172,740,329,162,852,408,177
"Croatia","Services of the business economy","Clerical support workers","Total","Males",NA,NA,NA,NA,NA,NA,1486,1047,168,NA,NA,NA
"Cyprus","Services of the business economy","Clerical support workers","Total","Males",1552,1422,170,1119,1694,170,2005,1781,169,1702,1533,168
"Czech Rep.","Services of the business economy","Clerical support workers","Total","Males",866,448,169,1104,671,170,1342,971,170,1423,907,169
"Denmark","Services of the business economy","Clerical support workers","Total","Males",1920,2473,128,2011,2758,131,2280,3114,127,2271,3160,123
"Estonia","Services of the business economy","Clerical support workers","Total","Males",807,423,169,970,620,165,1126,774,153,1338,1012,178
"Finland","Services of the business economy","Clerical support workers","Total","Males",1699,2016,160,1924,2244,157,2070,2473,153,2075,2538,154
"France","Services of the business economy","Clerical support workers","Total","Males",1675,1681,145,1742,1931,149,1734,1949,149,1958,2109,149
"Germany","Services of the business economy","Clerical support workers","Total","Males",2799,2896,163,3062,3148,160,2095,2188,151,2754,2795,161
"Greece","Services of the business economy","Clerical support workers","Total","Males",1566,1307,170,1783,1530,172,1878,1728,166,1790,1530,165
"Hungary","Services of the business economy","Clerical support workers","Total","Males",713,382,181,841,502,179,1139,680,163,1283,738,165
"Iceland","Services of the business economy","Clerical support workers","Total","Males",2240,2933,168,1584,2375,141,1796,1918,159,1900,2243,155
"Ireland","Services of the business economy","Clerical support workers","Total","Males",2301,2712,154,2430,2937,165,2780,3074,165,2990,3656,153
"Italy","Services of the business economy","Clerical support workers","Total","Males",2245,2109,172,2418,2474,169,2352,2407,163,2304,2372,173
"Latvia","Services of the business economy","Clerical support workers","Total","Males",615,310,176,810,466,167,659,599,149,1044,732,162
"Lithuania","Services of the business economy","Clerical support workers","Total","Males",617,304,168,777,420,169,820,485,151,1075,674,173
"Luxembourg","Services of the business economy","Clerical support workers","Total","Males",3257,3333,173,2745,3081,171,3034,3671,166,3014,3630,180
"Macedonia","Services of the business economy","Clerical support workers","Total","Males",NA,NA,NA,NA,NA,NA,1313,509,168,936,435,183
"Malta","Services of the business economy","Clerical support workers","Total","Males",1484,1072,177,670,1076,172,1683,1231,174,1623,1313,161
"Montenegro","Services of the business economy","Clerical support workers","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1036,575,178
"Netherlands","Services of the business economy","Clerical support workers","Total","Males",2120,2162,148,1949,2077,142,2117,2358,141,2079,2283,140
"Norway","Services of the business economy","Clerical support workers","Total","Males",2008,2932,153,2320,3076,151,2342,3459,143,2585,3786,142
"Poland","Services of the business economy","Clerical support workers","Total","Males",869,514,186,891,518,173,1132,677,165,1334,745,180
"Portugal","Services of the business economy","Clerical support workers","Total","Males",1403,1074,168,1339,1088,167,1395,1156,166,1516,1235,166
"Romania","Services of the business economy","Clerical support workers","Total","Males",468,193,180,632,316,175,870,431,167,858,456,181
"Serbia","Services of the business economy","Clerical support workers","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1168,589,187
"Slovakia","Services of the business economy","Clerical support workers","Total","Males",NA,NA,NA,721,491,170,1121,750,162,1194,810,173
"Slovenia","Services of the business economy","Clerical support workers","Total","Males",1357,932,173,1464,1093,178,1450,1219,167,1625,1327,175
"Spain","Services of the business economy","Clerical support workers","Total","Males",1821,1552,175,1773,1602,164,1986,1869,162,1996,1842,164
"Sweden","Services of the business economy","Clerical support workers","Total","Males",1554,1945,161,1861,2242,164,2054,2541,165,2394,3006,168
"Switzerland","Services of the business economy","Clerical support workers","Total","Males",NA,NA,NA,NA,NA,NA,3669,5262,171,3024,4502,158
"Turkey","Services of the business economy","Clerical support workers","Total","Males",NA,NA,NA,1248,718,196,1381,853,194,1225,733,196
"United Kingdom","Services of the business economy","Clerical support workers","Total","Males",1952,2242,154,2039,2301,155,1935,2045,154,1854,2252,156
