"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Plant and machine operators and assemblers","Total","Males",2099,2094,199,2044,2149,193,1997,2204,181,2329,2464,186
"Belgium","Services of the business economy","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,2032,2203,165,2128,2363,155,2325,2527,154
"Bulgaria","Services of the business economy","Plant and machine operators and assemblers","Total","Males",333,135,184,425,162,175,640,284,164,651,312,181
"Croatia","Services of the business economy","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,NA,NA,NA,1173,826,170,NA,NA,NA
"Cyprus","Services of the business economy","Plant and machine operators and assemblers","Total","Males",1283,1176,177,903,1366,179,1559,1385,175,1484,1337,176
"Czech Rep.","Services of the business economy","Plant and machine operators and assemblers","Total","Males",929,480,180,1027,625,177,1047,757,176,1099,700,175
"Denmark","Services of the business economy","Plant and machine operators and assemblers","Total","Males",1726,2222,120,2111,2896,133,2564,3501,135,2461,3424,132
"Estonia","Services of the business economy","Plant and machine operators and assemblers","Total","Males",674,353,190,950,607,182,1033,710,171,1225,926,183
"Finland","Services of the business economy","Plant and machine operators and assemblers","Total","Males",1792,2125,171,2039,2377,170,2467,2947,170,2457,3005,167
"France","Services of the business economy","Plant and machine operators and assemblers","Total","Males",1700,1706,155,1797,1992,163,1827,2054,159,2056,2214,159
"Germany","Services of the business economy","Plant and machine operators and assemblers","Total","Males",2131,2205,177,2019,2076,169,1966,2054,167,1911,1940,154
"Greece","Services of the business economy","Plant and machine operators and assemblers","Total","Males",1423,1188,174,2099,1801,185,1891,1741,174,1686,1441,169
"Hungary","Services of the business economy","Plant and machine operators and assemblers","Total","Males",736,394,187,847,506,182,1012,604,168,1066,613,175
"Iceland","Services of the business economy","Plant and machine operators and assemblers","Total","Males",1825,2389,196,NA,NA,NA,NA,NA,193,2275,2685,201
"Ireland","Services of the business economy","Plant and machine operators and assemblers","Total","Males",2121,2501,174,2486,3005,176,2496,2760,171,2267,2772,154
"Italy","Services of the business economy","Plant and machine operators and assemblers","Total","Males",1752,1646,170,2162,2212,181,2102,2151,175,1947,2004,179
"Latvia","Services of the business economy","Plant and machine operators and assemblers","Total","Males",504,254,179,653,375,172,626,569,156,874,613,153
"Lithuania","Services of the business economy","Plant and machine operators and assemblers","Total","Males",501,246,172,565,305,168,NA,NA,NA,863,542,182
"Luxembourg","Services of the business economy","Plant and machine operators and assemblers","Total","Males",2265,2318,182,2367,2657,175,2324,2811,172,2441,2940,180
"Macedonia","Services of the business economy","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,NA,NA,NA,959,371,159,707,329,178
"Malta","Services of the business economy","Plant and machine operators and assemblers","Total","Males",1576,1138,188,713,1145,176,1867,1365,174,1681,1359,180
"Montenegro","Services of the business economy","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,969,538,178
"Netherlands","Services of the business economy","Plant and machine operators and assemblers","Total","Males",2205,2249,174,1818,1938,161,2045,2278,161,1809,1987,140
"Norway","Services of the business economy","Plant and machine operators and assemblers","Total","Males",2033,2970,158,2393,3173,158,2500,3692,154,2605,3815,149
"Poland","Services of the business economy","Plant and machine operators and assemblers","Total","Males",869,514,188,943,548,179,1077,643,172,1256,702,186
"Portugal","Services of the business economy","Plant and machine operators and assemblers","Total","Males",1038,794,176,1135,922,177,1137,943,176,1148,935,176
"Romania","Services of the business economy","Plant and machine operators and assemblers","Total","Males",439,181,191,541,270,179,740,367,168,715,380,181
"Serbia","Services of the business economy","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,956,482,185
"Slovakia","Services of the business economy","Plant and machine operators and assemblers","Total","Males",734,319,172,665,454,171,927,620,167,1008,683,173
"Slovenia","Services of the business economy","Plant and machine operators and assemblers","Total","Males",1193,819,174,1371,1023,180,1406,1183,170,1471,1201,181
"Spain","Services of the business economy","Plant and machine operators and assemblers","Total","Males",1543,1315,181,1591,1437,168,1699,1599,162,1816,1676,162
"Sweden","Services of the business economy","Plant and machine operators and assemblers","Total","Males",1585,1983,167,1944,2342,171,2123,2626,171,2467,3097,174
"Switzerland","Services of the business economy","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,NA,NA,NA,2811,4032,175,3200,4764,171
"Turkey","Services of the business economy","Plant and machine operators and assemblers","Total","Males",NA,NA,NA,779,448,203,NA,NA,NA,861,515,195
"United Kingdom","Services of the business economy","Plant and machine operators and assemblers","Total","Males",2203,2529,199,2360,2663,193,2085,2203,185,2152,2615,189
