"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Professionals","Total","Males",4049,4040,176,3694,3884,172,3660,4039,166,3998,4231,169
"Belgium","Services of the business economy","Professionals","Total","Males",3554,3559,173,3755,4071,167,3873,4300,157,4197,4562,165
"Bulgaria","Services of the business economy","Professionals","Total","Males",750,304,181,1175,448,174,1792,795,165,2187,1047,180
"Croatia","Services of the business economy","Professionals","Total","Males",NA,NA,NA,NA,NA,NA,2656,1871,169,NA,NA,NA
"Cyprus","Services of the business economy","Professionals","Total","Males",2479,2272,172,1945,2943,169,3400,3020,170,3227,2907,171
"Czech Rep.","Services of the business economy","Professionals","Total","Males",1592,823,166,2098,1276,169,2363,1711,169,2753,1754,169
"Denmark","Services of the business economy","Professionals","Total","Males",3626,4670,161,3935,5398,156,4283,5850,153,4497,6258,153
"Estonia","Services of the business economy","Professionals","Total","Males",1698,890,178,2021,1291,169,2260,1553,163,2623,1983,179
"Finland","Services of the business economy","Professionals","Total","Males",2766,3281,162,3150,3673,161,3496,4176,160,3870,4733,161
"France","Services of the business economy","Professionals","Total","Males",3863,3876,151,3758,4164,169,3734,4196,163,4121,4438,164
"Germany","Services of the business economy","Professionals","Total","Males",4220,4366,168,4532,4659,165,4569,4773,164,4930,5003,165
"Greece","Services of the business economy","Professionals","Total","Males",NA,NA,NA,2695,2314,171,2780,2558,165,2798,2390,167
"Hungary","Services of the business economy","Professionals","Total","Males",2069,1109,183,2344,1399,180,2757,1647,164,2738,1575,169
"Iceland","Services of the business economy","Professionals","Total","Males",NA,NA,NA,3668,5499,169,3418,3651,165,4065,4798,167
"Ireland","Services of the business economy","Professionals","Total","Males",3566,4205,155,3876,4686,169,4388,4851,163,4639,5672,154
"Italy","Services of the business economy","Professionals","Total","Males",5263,4943,163,3032,3103,173,3593,3677,166,3589,3695,179
"Latvia","Services of the business economy","Professionals","Total","Males",1192,601,176,1399,804,166,1255,1140,154,2017,1415,161
"Lithuania","Services of the business economy","Professionals","Total","Males",1015,500,169,1078,583,163,1392,823,155,1646,1032,171
"Luxembourg","Services of the business economy","Professionals","Total","Males",4438,4542,174,4300,4827,172,4306,5209,168,4404,5303,182
"Macedonia","Services of the business economy","Professionals","Total","Males",NA,NA,NA,NA,NA,NA,2067,801,168,1799,837,182
"Malta","Services of the business economy","Professionals","Total","Males",2209,1595,170,1142,1836,167,2746,2008,169,2911,2354,167
"Montenegro","Services of the business economy","Professionals","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,2336,1296,178
"Netherlands","Services of the business economy","Professionals","Total","Males",3292,3358,162,3455,3682,156,3535,3938,156,3687,4049,160
"Norway","Services of the business economy","Professionals","Total","Males",3668,5358,162,4197,5564,164,4235,6254,161,4692,6872,160
"Poland","Services of the business economy","Professionals","Total","Males",1875,1109,179,2013,1170,170,2312,1382,160,2843,1588,177
"Portugal","Services of the business economy","Professionals","Total","Males",2687,2057,167,2863,2326,166,2760,2288,166,2688,2189,167
"Romania","Services of the business economy","Professionals","Total","Males",980,403,183,1279,639,173,1678,831,164,2004,1065,181
"Serbia","Services of the business economy","Professionals","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,2101,1060,184
"Slovakia","Services of the business economy","Professionals","Total","Males",1571,683,173,1512,1031,168,2242,1500,162,2499,1694,176
"Slovenia","Services of the business economy","Professionals","Total","Males",3092,2124,171,3051,2277,176,2978,2505,166,3142,2566,179
"Spain","Services of the business economy","Professionals","Total","Males",3424,2918,179,2975,2687,168,3024,2845,168,3238,2989,169
"Sweden","Services of the business economy","Professionals","Total","Males",3085,3861,170,3392,4088,169,3499,4328,171,3950,4960,172
"Switzerland","Services of the business economy","Professionals","Total","Males",NA,NA,NA,NA,NA,NA,5510,7902,174,5227,7781,172
"Turkey","Services of the business economy","Professionals","Total","Males",NA,NA,NA,2038,1172,194,2473,1528,190,2907,1738,188
"United Kingdom","Services of the business economy","Professionals","Total","Males",4244,4874,163,4518,5099,162,4043,4272,163,3771,4582,162
