"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Service and sales workers","Total","Males",1746,1742,169,1751,1841,163,1629,1798,152,1644,1739,145
"Belgium","Services of the business economy","Service and sales workers","Total","Males",1776,1778,151,1766,1915,147,1950,2165,142,1975,2147,144
"Bulgaria","Services of the business economy","Service and sales workers","Total","Males",219,89,178,312,119,163,442,196,157,528,253,177
"Croatia","Services of the business economy","Service and sales workers","Total","Males",NA,NA,NA,NA,NA,NA,1152,811,171,NA,NA,NA
"Cyprus","Services of the business economy","Service and sales workers","Total","Males",1400,1283,171,958,1450,173,1593,1415,176,1403,1264,178
"Czech Rep.","Services of the business economy","Service and sales workers","Total","Males",688,355,177,831,505,171,824,597,167,906,577,167
"Denmark","Services of the business economy","Service and sales workers","Total","Males",1161,1496,100,1357,1862,103,1758,2401,108,1537,2139,96
"Estonia","Services of the business economy","Service and sales workers","Total","Males",640,335,186,747,477,177,805,553,167,973,736,173
"Finland","Services of the business economy","Service and sales workers","Total","Males",1404,1665,144,1566,1827,142,1815,2168,146,1857,2271,147
"France","Services of the business economy","Service and sales workers","Total","Males",1552,1557,142,1514,1678,148,1683,1891,147,1968,2119,149
"Germany","Services of the business economy","Service and sales workers","Total","Males",1916,1983,153,1831,1882,143,1720,1796,142,1807,1834,139
"Greece","Services of the business economy","Service and sales workers","Total","Males",1121,936,167,1404,1205,170,1464,1347,164,1221,1043,153
"Hungary","Services of the business economy","Service and sales workers","Total","Males",572,307,186,638,381,179,811,484,163,1062,611,176
"Iceland","Services of the business economy","Service and sales workers","Total","Males",1538,2014,153,1720,2579,145,1676,1791,154,1621,1913,138
"Ireland","Services of the business economy","Service and sales workers","Total","Males",1633,1926,143,2004,2423,159,2086,2307,153,1895,2318,137
"Italy","Services of the business economy","Service and sales workers","Total","Males",1704,1601,176,1807,1849,167,1799,1840,169,1765,1816,173
"Latvia","Services of the business economy","Service and sales workers","Total","Males",433,219,172,628,361,169,496,451,146,762,534,152
"Lithuania","Services of the business economy","Service and sales workers","Total","Males",511,251,178,607,328,171,683,404,162,722,453,173
"Luxembourg","Services of the business economy","Service and sales workers","Total","Males",1956,2002,173,1939,2176,166,1968,2381,160,2256,2717,172
"Macedonia","Services of the business economy","Service and sales workers","Total","Males",NA,NA,NA,NA,NA,NA,967,374,167,708,329,179
"Malta","Services of the business economy","Service and sales workers","Total","Males",1065,769,149,565,908,151,1255,918,139,1237,1000,136
"Montenegro","Services of the business economy","Service and sales workers","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,865,480,180
"Netherlands","Services of the business economy","Service and sales workers","Total","Males",1732,1767,144,1584,1688,133,1491,1661,122,1496,1643,118
"Norway","Services of the business economy","Service and sales workers","Total","Males",1445,2111,119,1769,2345,121,1631,2409,111,1802,2639,112
"Poland","Services of the business economy","Service and sales workers","Total","Males",625,370,187,677,393,169,866,517,164,1096,612,178
"Portugal","Services of the business economy","Service and sales workers","Total","Males",814,623,168,952,774,170,1091,904,162,1010,823,162
"Romania","Services of the business economy","Service and sales workers","Total","Males",259,107,191,371,185,178,507,251,168,532,283,181
"Serbia","Services of the business economy","Service and sales workers","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,786,397,183
"Slovakia","Services of the business economy","Service and sales workers","Total","Males",701,305,176,580,395,172,826,553,162,986,668,170
"Slovenia","Services of the business economy","Service and sales workers","Total","Males",1120,770,169,1248,931,185,1296,1090,168,1340,1094,175
"Spain","Services of the business economy","Service and sales workers","Total","Males",1542,1314,180,1484,1340,163,1532,1442,165,1541,1423,157
"Sweden","Services of the business economy","Service and sales workers","Total","Males",1347,1686,139,1732,2087,149,1813,2243,146,2021,2538,144
"Switzerland","Services of the business economy","Service and sales workers","Total","Males",NA,NA,NA,NA,NA,NA,2429,3483,156,2672,3977,149
"Turkey","Services of the business economy","Service and sales workers","Total","Males",NA,NA,NA,725,417,198,877,542,201,869,520,198
"United Kingdom","Services of the business economy","Service and sales workers","Total","Males",1238,1422,128,1231,1389,128,1359,1437,136,1290,1568,136
