"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Technicians and associate professionals","Total","Males",2946,2939,176,3046,3203,170,3061,3378,167,3255,3444,170
"Belgium","Services of the business economy","Technicians and associate professionals","Total","Males",2676,2680,173,2773,3006,164,3015,3347,158,3354,3645,167
"Bulgaria","Services of the business economy","Technicians and associate professionals","Total","Males",582,236,184,840,320,175,1197,531,165,1262,604,181
"Croatia","Services of the business economy","Technicians and associate professionals","Total","Males",NA,NA,NA,NA,NA,NA,1786,1258,170,NA,NA,NA
"Cyprus","Services of the business economy","Technicians and associate professionals","Total","Males",2233,2047,172,1595,2414,166,3201,2843,171,2503,2254,171
"Czech Rep.","Services of the business economy","Technicians and associate professionals","Total","Males",1224,633,171,1669,1015,171,1873,1356,171,2067,1317,172
"Denmark","Services of the business economy","Technicians and associate professionals","Total","Males",3016,3884,151,3310,4540,155,3735,5101,155,3865,5378,155
"Estonia","Services of the business economy","Technicians and associate professionals","Total","Males",1251,655,182,1587,1014,174,1712,1176,167,2144,1621,180
"Finland","Services of the business economy","Technicians and associate professionals","Total","Males",2341,2777,163,2626,3063,162,2939,3511,161,3087,3775,162
"France","Services of the business economy","Technicians and associate professionals","Total","Males",2176,2183,148,2409,2669,155,2467,2772,154,2712,2920,152
"Germany","Services of the business economy","Technicians and associate professionals","Total","Males",3241,3353,166,3444,3541,164,3961,4138,165,3749,3804,164
"Greece","Services of the business economy","Technicians and associate professionals","Total","Males",NA,NA,NA,2298,1973,172,2316,2132,167,2472,2112,168
"Hungary","Services of the business economy","Technicians and associate professionals","Total","Males",1195,641,183,1371,818,179,1659,991,165,1793,1032,168
"Iceland","Services of the business economy","Technicians and associate professionals","Total","Males",2692,3525,163,3503,5253,177,2898,3095,168,3524,4159,171
"Ireland","Services of the business economy","Technicians and associate professionals","Total","Males",3175,3743,156,3195,3862,174,3486,3855,165,3104,3795,142
"Italy","Services of the business economy","Technicians and associate professionals","Total","Males",2711,2547,177,2771,2835,166,2979,3048,167,3096,3187,179
"Latvia","Services of the business economy","Technicians and associate professionals","Total","Males",896,452,176,1117,642,168,982,893,154,1580,1108,162
"Lithuania","Services of the business economy","Technicians and associate professionals","Total","Males",743,366,164,979,529,159,1067,631,157,1182,741,168
"Luxembourg","Services of the business economy","Technicians and associate professionals","Total","Males",3796,3884,175,3827,4296,173,3652,4417,168,3679,4430,181
"Macedonia","Services of the business economy","Technicians and associate professionals","Total","Males",NA,NA,NA,NA,NA,NA,1549,600,168,1214,565,182
"Malta","Services of the business economy","Technicians and associate professionals","Total","Males",2146,1550,183,954,1533,172,2239,1637,175,2321,1877,170
"Montenegro","Services of the business economy","Technicians and associate professionals","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1605,891,176
"Netherlands","Services of the business economy","Technicians and associate professionals","Total","Males",3040,3100,160,2870,3059,156,3039,3386,153,3115,3421,156
"Norway","Services of the business economy","Technicians and associate professionals","Total","Males",3042,4444,165,3623,4803,163,3899,5759,161,4147,6074,158
"Poland","Services of the business economy","Technicians and associate professionals","Total","Males",1319,780,185,1417,823,170,1659,991,164,2071,1156,179
"Portugal","Services of the business economy","Technicians and associate professionals","Total","Males",1942,1487,167,2299,1868,168,2185,1811,167,2312,1883,168
"Romania","Services of the business economy","Technicians and associate professionals","Total","Males",658,271,184,756,377,174,1083,537,166,1091,580,178
"Serbia","Services of the business economy","Technicians and associate professionals","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1485,749,184
"Slovakia","Services of the business economy","Technicians and associate professionals","Total","Males",1226,533,173,1100,750,169,1639,1097,163,1724,1169,174
"Slovenia","Services of the business economy","Technicians and associate professionals","Total","Males",2024,1390,173,2057,1536,177,2168,1823,167,2495,2037,179
"Spain","Services of the business economy","Technicians and associate professionals","Total","Males",2560,2182,179,2472,2233,168,2434,2290,168,2652,2448,169
"Sweden","Services of the business economy","Technicians and associate professionals","Total","Males",2408,3014,170,2905,3500,169,3077,3806,171,3383,4248,171
"Switzerland","Services of the business economy","Technicians and associate professionals","Total","Males",NA,NA,NA,NA,NA,NA,4346,6233,173,4573,6808,173
"Turkey","Services of the business economy","Technicians and associate professionals","Total","Males",NA,NA,NA,1404,808,198,1520,939,195,1654,989,198
"United Kingdom","Services of the business economy","Technicians and associate professionals","Total","Males",3516,4038,163,3674,4146,166,3126,3303,166,2808,3412,168
