"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Total","Total","Males",2338,2333,175,2364,2485,170,2420,2670,165,2739,2898,165
"Belgium","Services of the business economy","Total","Total","Males",2478,2482,169,2544,2757,159,2753,3056,153,3016,3279,158
"Bulgaria","Services of the business economy","Total","Total","Males",371,151,180,545,208,170,821,365,160,981,470,179
"Croatia","Services of the business economy","Total","Total","Males",NA,NA,NA,NA,NA,NA,1566,1103,170,NA,NA,NA
"Cyprus","Services of the business economy","Total","Total","Males",1846,1692,171,1382,2092,172,2528,2245,173,2186,1969,172
"Czech Rep.","Services of the business economy","Total","Total","Males",1121,579,173,1458,887,172,1541,1115,171,1679,1070,171
"Denmark","Services of the business economy","Total","Total","Males",2168,2792,125,2494,3421,131,3001,4098,133,2945,4098,125
"Estonia","Services of the business economy","Total","Total","Males",968,507,182,1269,811,174,1466,1007,165,1715,1297,178
"Finland","Services of the business economy","Total","Total","Males",2080,2467,160,2415,2817,159,2738,3271,158,2837,3470,159
"France","Services of the business economy","Total","Total","Males",2313,2321,148,2402,2662,157,2494,2803,154,2801,3017,155
"Germany","Services of the business economy","Total","Total","Males",2641,2733,162,2674,2749,157,2703,2824,155,2832,2874,148
"Greece","Services of the business economy","Total","Total","Males",NA,NA,NA,1951,1675,173,2018,1857,167,1856,1585,163
"Hungary","Services of the business economy","Total","Total","Males",983,527,184,1165,695,179,1444,862,164,1545,889,169
"Iceland","Services of the business economy","Total","Total","Males",1964,2571,162,2471,3705,165,2360,2521,168,2783,3285,164
"Ireland","Services of the business economy","Total","Total","Males",2482,2926,154,2892,3496,165,3383,3741,163,3016,3688,145
"Italy","Services of the business economy","Total","Total","Males",2167,2036,174,2284,2336,170,2308,2361,166,2410,2481,174
"Latvia","Services of the business economy","Total","Total","Males",703,355,176,907,521,169,809,735,152,1213,851,158
"Lithuania","Services of the business economy","Total","Total","Males",722,356,171,878,475,166,1013,599,159,1159,727,172
"Luxembourg","Services of the business economy","Total","Total","Males",3069,3141,174,3319,3725,170,3368,4074,165,3690,4444,179
"Macedonia","Services of the business economy","Total","Total","Males",NA,NA,NA,NA,NA,NA,1394,540,166,1097,510,180
"Malta","Services of the business economy","Total","Total","Males",1668,1205,171,827,1330,165,2044,1495,166,2105,1702,160
"Montenegro","Services of the business economy","Total","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1362,755,178
"Netherlands","Services of the business economy","Total","Total","Males",2385,2432,148,2126,2265,139,2411,2687,141,2511,2757,139
"Norway","Services of the business economy","Total","Total","Males",2581,3770,152,3006,3985,151,3109,4592,146,3369,4934,145
"Poland","Services of the business economy","Total","Total","Males",1100,650,186,1268,737,173,1543,922,165,1968,1099,180
"Portugal","Services of the business economy","Total","Total","Males",1460,1118,169,1617,1314,170,1702,1411,167,1734,1413,167
"Romania","Services of the business economy","Total","Total","Males",526,216,187,693,346,177,976,484,167,1026,545,181
"Serbia","Services of the business economy","Total","Total","Males",NA,NA,NA,NA,NA,NA,NA,NA,NA,1239,625,184
"Slovakia","Services of the business economy","Total","Total","Males",1003,436,172,960,654,170,1340,896,163,1552,1052,173
"Slovenia","Services of the business economy","Total","Total","Males",1636,1123,171,1777,1326,179,1865,1569,167,2012,1643,178
"Spain","Services of the business economy","Total","Total","Males",2012,1715,178,1983,1791,166,2079,1956,164,2175,2008,163
"Sweden","Services of the business economy","Total","Total","Males",2197,2749,165,2543,3064,166,2697,3337,165,3023,3795,165
"Switzerland","Services of the business economy","Total","Total","Males",NA,NA,NA,NA,NA,NA,3617,5187,167,4232,6301,166
"Turkey","Services of the business economy","Total","Total","Males",NA,NA,NA,1126,648,198,1252,774,198,1278,764,197
"United Kingdom","Services of the business economy","Total","Total","Males",2966,3406,164,3210,3623,165,2893,3057,160,2757,3350,162
