"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Clerical support workers","60 years or over","Total",1838,1834,98,1758,1848,94,1587,1751,90,1689,1787,94
"Belgium","Business economy","Clerical support workers","60 years or over","Total",2384,2387,144,2376,2576,140,2481,2754,136,2918,3172,150
"Bulgaria","Business economy","Clerical support workers","60 years or over","Total",287,116,175,455,173,164,586,260,149,656,314,169
"Croatia","Business economy","Clerical support workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1700,1198,168,NA,NA,NA
"Cyprus","Business economy","Clerical support workers","60 years or over","Total",1298,1189,167,1083,1639,166,1900,1688,174,1414,1273,150
"Czech Rep.","Business economy","Clerical support workers","60 years or over","Total",601,311,141,824,501,155,1149,831,162,1290,821,164
"Denmark","Business economy","Clerical support workers","60 years or over","Total",1968,2534,134,2236,3066,140,2552,3485,139,2650,3688,139
"Estonia","Business economy","Clerical support workers","60 years or over","Total",475,249,147,593,379,143,755,519,145,932,705,166
"Finland","Business economy","Clerical support workers","60 years or over","Total",1393,1652,139,1695,1977,141,1890,2258,142,2082,2547,149
"France","Business economy","Clerical support workers","60 years or over","Total",1631,1636,122,1569,1739,135,1946,2187,135,2180,2348,134
"Germany","Business economy","Clerical support workers","60 years or over","Total",1999,2068,112,2207,2269,106,1445,1510,93,2259,2292,121
"Greece","Business economy","Clerical support workers","60 years or over","Total",1666,1391,166,2192,1882,171,2232,2054,164,2404,2053,165
"Hungary","Business economy","Clerical support workers","60 years or over","Total",660,354,159,741,442,155,967,578,136,1101,633,140
"Iceland","Business economy","Clerical support workers","60 years or over","Total",NA,NA,NA,1620,2429,162,1627,1737,156,1897,2238,152
"Ireland","Business economy","Clerical support workers","60 years or over","Total",1649,1945,136,1871,2261,143,2373,2623,143,1965,2403,137
"Italy","Business economy","Clerical support workers","60 years or over","Total",2421,2274,173,2861,2927,163,2567,2627,159,2601,2677,166
"Latvia","Business economy","Clerical support workers","60 years or over","Total",430,217,161,578,332,161,544,494,150,820,575,157
"Lithuania","Business economy","Clerical support workers","60 years or over","Total",411,202,152,630,341,160,706,418,141,754,473,161
"Luxembourg","Business economy","Clerical support workers","60 years or over","Total",2461,2518,145,2287,2567,133,2470,2988,137,2100,2529,130
"Macedonia","Business economy","Clerical support workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1562,605,168,985,458,183
"Malta","Business economy","Clerical support workers","60 years or over","Total",NA,NA,NA,587,943,141,1448,1059,150,1471,1189,151
"Montenegro","Business economy","Clerical support workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1356,752,179
"Netherlands","Business economy","Clerical support workers","60 years or over","Total",1960,1999,131,1533,1634,115,1778,1981,115,1965,2158,120
"Norway","Business economy","Clerical support workers","60 years or over","Total",1863,2721,139,2255,2990,140,2346,3465,138,2647,3876,139
"Poland","Business economy","Clerical support workers","60 years or over","Total",919,544,183,886,515,145,1181,706,153,1504,840,176
"Portugal","Business economy","Clerical support workers","60 years or over","Total",1201,919,168,1331,1081,167,1552,1287,164,1661,1353,163
"Romania","Business economy","Clerical support workers","60 years or over","Total",522,215,182,548,274,166,725,359,157,819,435,165
"Serbia","Business economy","Clerical support workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1283,647,184
"Slovakia","Business economy","Clerical support workers","60 years or over","Total",377,164,148,520,354,155,825,552,141,1050,712,162
"Slovenia","Business economy","Clerical support workers","60 years or over","Total",1879,1290,181,1417,1058,177,1680,1414,166,2035,1662,175
"Spain","Business economy","Clerical support workers","60 years or over","Total",2042,1741,168,1727,1560,141,1691,1591,116,1829,1689,138
"Sweden","Business economy","Clerical support workers","60 years or over","Total",1506,1885,151,1796,2165,152,2063,2552,158,2407,3022,161
"Switzerland","Business economy","Clerical support workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,3054,4380,146,2676,3984,125
"Turkey","Business economy","Clerical support workers","60 years or over","Total",NA,NA,NA,1897,1091,190,1933,1194,188,1396,835,182
"United Kingdom","Business economy","Clerical support workers","60 years or over","Total",1394,1601,123,1524,1720,124,1389,1468,120,1447,1758,126
