"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Craft and related trades workers","60 years or over","Total",1808,1804,141,1672,1758,130,1874,2069,135,2249,2379,149
"Belgium","Business economy","Craft and related trades workers","60 years or over","Total",NA,NA,NA,1688,1830,133,2227,2472,142,2625,2854,159
"Bulgaria","Business economy","Craft and related trades workers","60 years or over","Total",359,146,180,476,181,168,659,292,161,764,366,172
"Croatia","Business economy","Craft and related trades workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1309,922,171,NA,NA,NA
"Cyprus","Business economy","Craft and related trades workers","60 years or over","Total",NA,NA,170,1180,1787,169,2186,1942,169,1837,1655,170
"Czech Rep.","Business economy","Craft and related trades workers","60 years or over","Total",746,386,165,1039,632,172,1105,800,171,1272,810,171
"Denmark","Business economy","Craft and related trades workers","60 years or over","Total",2056,2647,126,2258,3097,130,2492,3403,124,2550,3549,125
"Estonia","Business economy","Craft and related trades workers","60 years or over","Total",605,317,180,781,499,171,930,639,163,1156,874,177
"Finland","Business economy","Craft and related trades workers","60 years or over","Total",1641,1946,156,2034,2372,158,2247,2684,160,2441,2985,160
"France","Business economy","Craft and related trades workers","60 years or over","Total",1715,1720,131,1846,2046,148,1849,2078,140,2194,2362,145
"Germany","Business economy","Craft and related trades workers","60 years or over","Total",2219,2296,143,2046,2103,122,1973,2061,123,2497,2534,142
"Greece","Business economy","Craft and related trades workers","60 years or over","Total",1532,1279,169,2388,2050,184,1616,1487,165,1762,1506,162
"Hungary","Business economy","Craft and related trades workers","60 years or over","Total",724,388,168,729,435,164,844,504,148,1042,600,159
"Iceland","Business economy","Craft and related trades workers","60 years or over","Total",NA,NA,173,2011,3016,184,1949,2082,176,2380,2808,180
"Ireland","Business economy","Craft and related trades workers","60 years or over","Total",2376,2801,153,3162,3823,180,2751,3041,164,2712,3315,157
"Italy","Business economy","Craft and related trades workers","60 years or over","Total",1642,1543,171,1632,1669,151,1527,1562,146,1541,1586,143
"Latvia","Business economy","Craft and related trades workers","60 years or over","Total",548,276,176,649,373,168,593,539,154,848,595,157
"Lithuania","Business economy","Craft and related trades workers","60 years or over","Total",550,271,172,778,420,168,NA,NA,NA,918,575,174
"Luxembourg","Business economy","Craft and related trades workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,2146,2597,143,2176,2620,156
"Macedonia","Business economy","Craft and related trades workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1191,461,172,862,401,181
"Malta","Business economy","Craft and related trades workers","60 years or over","Total",NA,NA,NA,562,903,144,1593,1165,170,1539,1245,156
"Montenegro","Business economy","Craft and related trades workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1382,767,176
"Netherlands","Business economy","Craft and related trades workers","60 years or over","Total",1322,1348,113,1680,1790,128,2139,2383,138,2419,2657,151
"Norway","Business economy","Craft and related trades workers","60 years or over","Total",2177,3180,157,2624,3479,158,2790,4121,155,3046,4460,153
"Poland","Business economy","Craft and related trades workers","60 years or over","Total",813,481,184,869,505,155,1088,650,161,1448,808,183
"Portugal","Business economy","Craft and related trades workers","60 years or over","Total",979,750,170,995,808,173,1138,944,173,1153,939,173
"Romania","Business economy","Craft and related trades workers","60 years or over","Total",445,183,186,585,292,169,767,380,168,853,454,179
"Serbia","Business economy","Craft and related trades workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1168,589,186
"Slovakia","Business economy","Craft and related trades workers","60 years or over","Total",707,307,170,658,448,170,968,648,162,1162,788,171
"Slovenia","Business economy","Craft and related trades workers","60 years or over","Total",NA,NA,NA,1529,1141,181,1392,1171,154,1548,1264,178
"Spain","Business economy","Craft and related trades workers","60 years or over","Total",1609,1372,173,1623,1466,147,1342,1263,110,1638,1512,126
"Sweden","Business economy","Craft and related trades workers","60 years or over","Total",1740,2177,167,2077,2503,168,2307,2853,170,2636,3310,169
"Switzerland","Business economy","Craft and related trades workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,2860,4102,158,3566,5309,164
"Turkey","Business economy","Craft and related trades workers","60 years or over","Total",NA,NA,NA,954,549,195,1234,762,193,1006,601,196
"United Kingdom","Business economy","Craft and related trades workers","60 years or over","Total",2152,2471,172,2541,2868,177,2338,2470,169,2266,2753,169
