"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Technicians and associate professionals","60 years or over","Total",3521,3513,136,3119,3280,130,2769,3056,116,3282,3473,132
"Belgium","Business economy","Technicians and associate professionals","60 years or over","Total",3088,3092,165,3005,3258,152,3707,4115,151,4189,4554,163
"Bulgaria","Business economy","Technicians and associate professionals","60 years or over","Total",453,184,172,618,236,168,835,371,158,984,471,172
"Croatia","Business economy","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,2103,1481,170,NA,NA,NA
"Cyprus","Business economy","Technicians and associate professionals","60 years or over","Total",1758,1611,165,1409,2132,166,2905,2581,167,2183,1966,169
"Czech Rep.","Business economy","Technicians and associate professionals","60 years or over","Total",1000,517,158,1348,820,163,1586,1148,164,1744,1111,166
"Denmark","Business economy","Technicians and associate professionals","60 years or over","Total",2439,3141,129,2984,4092,148,3353,4580,148,3513,4889,149
"Estonia","Business economy","Technicians and associate professionals","60 years or over","Total",753,395,167,956,611,162,1123,772,157,1501,1135,174
"Finland","Business economy","Technicians and associate professionals","60 years or over","Total",2016,2391,151,2224,2593,147,2550,3047,150,2815,3443,155
"France","Business economy","Technicians and associate professionals","60 years or over","Total",2638,2647,127,2359,2615,131,2615,2939,135,3081,3318,144
"Germany","Business economy","Technicians and associate professionals","60 years or over","Total",3141,3250,141,3154,3243,122,3517,3674,133,3531,3583,136
"Greece","Business economy","Technicians and associate professionals","60 years or over","Total",1811,1512,151,2860,2455,175,2971,2735,172,3675,3140,163
"Hungary","Business economy","Technicians and associate professionals","60 years or over","Total",957,513,166,1041,621,158,1243,743,147,1450,834,153
"Iceland","Business economy","Technicians and associate professionals","60 years or over","Total",NA,NA,175,2654,3979,175,2158,2305,161,2895,3417,170
"Ireland","Business economy","Technicians and associate professionals","60 years or over","Total",3730,4398,153,3041,3676,155,3329,3681,158,2930,3582,148
"Italy","Business economy","Technicians and associate professionals","60 years or over","Total",3945,3705,171,3719,3805,167,3574,3658,163,3444,3545,178
"Latvia","Business economy","Technicians and associate professionals","60 years or over","Total",642,324,168,728,419,158,734,667,150,960,673,148
"Lithuania","Business economy","Technicians and associate professionals","60 years or over","Total",694,342,163,810,438,152,1049,620,145,899,564,149
"Luxembourg","Business economy","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,3605,4047,149,3451,4174,143,3275,3945,158
"Macedonia","Business economy","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,1585,614,170,1260,586,184
"Malta","Business economy","Technicians and associate professionals","60 years or over","Total",890,643,93,744,1196,137,2274,1663,188,1766,1429,146
"Montenegro","Business economy","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,1083,180
"Netherlands","Business economy","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,2537,2704,130,3001,3343,143,3137,3445,140
"Norway","Business economy","Technicians and associate professionals","60 years or over","Total",2686,3923,154,3303,4380,155,3469,5124,152,3878,5680,151
"Poland","Business economy","Technicians and associate professionals","60 years or over","Total",1176,696,182,1073,623,141,1459,872,151,1846,1031,174
"Portugal","Business economy","Technicians and associate professionals","60 years or over","Total",1897,1453,167,2370,1926,167,2131,1766,168,2443,1990,167
"Romania","Business economy","Technicians and associate professionals","60 years or over","Total",556,229,184,589,294,153,1160,575,156,1086,577,173
"Serbia","Business economy","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1451,732,184
"Slovakia","Business economy","Technicians and associate professionals","60 years or over","Total",988,429,170,871,594,157,1387,928,150,1409,955,157
"Slovenia","Business economy","Technicians and associate professionals","60 years or over","Total",2477,1702,173,2606,1945,177,2361,1987,166,2573,2101,177
"Spain","Business economy","Technicians and associate professionals","60 years or over","Total",2879,2454,176,2625,2371,147,2190,2060,120,2607,2406,141
"Sweden","Business economy","Technicians and associate professionals","60 years or over","Total",2175,2722,161,2585,3115,162,2746,3397,162,3199,4017,165
"Switzerland","Business economy","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,3944,5656,154,4412,6568,157
"Turkey","Business economy","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,1678,965,198,2107,1302,179,1617,967,165
"United Kingdom","Business economy","Technicians and associate professionals","60 years or over","Total",2545,2922,144,2905,3279,146,2397,2533,147,2440,2964,151
