"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Total","60 years or over","Total",1962,1958,103,1870,1967,105,2147,2370,107,2394,2534,111
"Belgium","Business economy","Total","60 years or over","Total",2540,2543,142,2670,2894,141,2953,3278,137,3362,3654,146
"Bulgaria","Business economy","Total","60 years or over","Total",350,142,168,466,178,159,595,264,152,710,340,170
"Croatia","Business economy","Total","60 years or over","Total",NA,NA,NA,NA,NA,NA,1865,1313,169,NA,NA,NA
"Cyprus","Business economy","Total","60 years or over","Total",1521,1394,169,1281,1940,170,2251,2000,170,2122,1912,168
"Czech Rep.","Business economy","Total","60 years or over","Total",865,447,157,1221,742,166,1290,934,165,1479,942,167
"Denmark","Business economy","Total","60 years or over","Total",2117,2727,123,2516,3451,133,2909,3973,130,3036,4224,130
"Estonia","Business economy","Total","60 years or over","Total",593,310,168,739,472,159,918,631,153,1101,833,168
"Finland","Business economy","Total","60 years or over","Total",1765,2093,149,2186,2550,148,2443,2918,150,2623,3208,153
"France","Business economy","Total","60 years or over","Total",3275,3286,127,3421,3792,139,2857,3211,137,3133,3374,141
"Germany","Business economy","Total","60 years or over","Total",1989,2059,108,2042,2099,102,2031,2121,108,2148,2180,111
"Greece","Business economy","Total","60 years or over","Total",2141,1787,168,2270,1949,173,2565,2360,164,2443,2087,161
"Hungary","Business economy","Total","60 years or over","Total",974,522,164,1057,631,157,1219,728,143,1305,751,154
"Iceland","Business economy","Total","60 years or over","Total",1622,2124,169,2047,3069,176,1996,2132,169,2452,2894,170
"Ireland","Business economy","Total","60 years or over","Total",1911,2253,144,2320,2804,149,2797,3092,151,2264,2768,138
"Italy","Business economy","Total","60 years or over","Total",2344,2202,169,2555,2614,157,2548,2607,156,2685,2763,163
"Latvia","Business economy","Total","60 years or over","Total",541,273,171,632,363,164,624,567,150,893,626,153
"Lithuania","Business economy","Total","60 years or over","Total",622,306,166,807,436,160,835,494,145,999,627,164
"Luxembourg","Business economy","Total","60 years or over","Total",3601,3685,156,3846,4317,142,3686,4459,145,2984,3594,144
"Macedonia","Business economy","Total","60 years or over","Total",NA,NA,NA,NA,NA,NA,1498,580,169,1247,580,182
"Malta","Business economy","Total","60 years or over","Total",1372,991,142,766,1231,146,1789,1308,154,1689,1366,147
"Montenegro","Business economy","Total","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1726,957,178
"Netherlands","Business economy","Total","60 years or over","Total",2451,2500,121,1823,1943,116,2117,2358,120,2412,2649,126
"Norway","Business economy","Total","60 years or over","Total",2234,3263,141,2811,3727,145,2984,4407,142,3411,4996,143
"Poland","Business economy","Total","60 years or over","Total",1286,761,183,1363,792,152,1561,933,157,1879,1049,178
"Portugal","Business economy","Total","60 years or over","Total",1149,879,165,1478,1200,169,1721,1427,163,1643,1339,160
"Romania","Business economy","Total","60 years or over","Total",713,293,184,792,396,165,1117,554,159,1092,580,176
"Serbia","Business economy","Total","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1402,707,185
"Slovakia","Business economy","Total","60 years or over","Total",823,358,165,783,534,159,1111,744,152,1340,908,165
"Slovenia","Business economy","Total","60 years or over","Total",2328,1599,168,2949,2201,176,2609,2195,163,2646,2161,176
"Spain","Business economy","Total","60 years or over","Total",1967,1677,166,1905,1721,141,1630,1533,114,1800,1661,128
"Sweden","Business economy","Total","60 years or over","Total",1893,2369,157,2311,2785,159,2514,3110,161,2937,3688,162
"Switzerland","Business economy","Total","60 years or over","Total",NA,NA,NA,NA,NA,NA,2956,4239,144,3704,5514,141
"Turkey","Business economy","Total","60 years or over","Total",NA,NA,NA,1848,1063,195,1974,1220,190,1719,1028,183
"United Kingdom","Business economy","Total","60 years or over","Total",1897,2178,146,2324,2623,149,2103,2222,141,2148,2609,142
