"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",NA,NA,NA,2313,2432,123,1523,1681,126,2271,2403,139
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",NA,NA,NA,1956,2120,143,1503,1669,109,2053,2231,129
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",255,103,175,375,143,167,533,237,162,628,300,173
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1224,862,168,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",667,345,161,880,535,170,963,697,169,1065,679,172
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",NA,NA,NA,2271,3114,144,2573,3513,138,2687,3739,141
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",NA,NA,NA,465,297,157,635,437,148,755,571,163
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",NA,NA,NA,1534,1789,138,1799,2149,152,1921,2349,155
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1768,1987,144,1832,1973,144
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",NA,NA,NA,1837,1888,114,1777,1856,117,2231,2264,130
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",NA,NA,NA,1837,1577,190,1772,1631,171,NA,NA,NA
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",530,284,177,704,420,164,794,474,145,849,488,168
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",1914,2257,142,NA,NA,NA,2883,3187,163,2819,3447,136
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",NA,NA,NA,1775,1816,145,1914,1959,153,1298,1336,150
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","60 years or over","Total",NA,NA,NA,441,254,165,376,341,148,653,458,155
