"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,5906,6210,169,4992,5509,150,6117,6473,171
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,4444,4817,140,5716,6346,149,5667,6160,140
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",682,276,178,1219,465,165,1668,740,164,1722,824,177
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,NA,NA,NA,3642,2565,165,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,2806,4248,156,7202,6398,157,5752,5181,153
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",1656,856,170,2238,1361,167,2396,1734,169,2545,1621,168
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,3958,5429,156,4555,6220,158,4657,6480,157
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,1239,791,170,1723,1184,163,1880,1422,180
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,3407,3974,153,3883,4639,153,4409,5392,152
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,3695,4095,133,4669,5248,154,4490,4835,143
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,4881,5018,140,4000,4179,129,6131,6222,154
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,3668,3148,182,4762,4383,193,3996,3414,207
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",1775,951,186,2257,1347,177,2796,1670,165,2733,1573,171
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,3301,4949,173,3000,3205,178,3687,4352,179
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",3762,4435,141,4443,5370,163,3964,4383,143,3932,4808,138
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,5722,5855,136,5508,5636,152,5097,5246,161
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,1233,708,168,1054,958,159,1493,1047,174
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",1033,508,184,1336,722,170,1637,968,166,1832,1149,174
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,NA,NA,NA,2317,898,166,2089,972,182
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,1366,2195,166,2449,1791,130,1962,1587,135
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1935,1073,176
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",4115,4197,135,3808,4058,137,3823,4259,135,4347,4774,139
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,3786,5019,153,3977,5874,153,4422,6476,154
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",2319,1371,181,2567,1491,167,2684,1604,162,3123,1744,178
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,4620,3753,156,3960,3283,150,4019,3274,155
"Romania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",1437,591,188,2327,1162,177,2415,1197,171,2445,1299,187
"Serbia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1831,924,184
"Slovakia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",1384,601,176,1386,944,164,2236,1496,155,2243,1521,165
"Slovenia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,4538,3387,180,4725,3975,168,5792,4729,176
"Spain","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",3718,3169,153,4251,3839,161,3433,3230,126,3692,3408,127
"Sweden","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,3283,3956,163,3548,4389,167,4125,5179,168
"Switzerland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,NA,NA,NA,6104,8754,157,5853,8714,153
"Turkey","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",NA,NA,NA,1639,943,181,1958,1210,176,4500,2692,183
"United Kingdom","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Total",3230,3709,152,3257,3675,145,2991,3161,137,3293,4001,143
