"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,3684,3874,111,3402,3755,115,3576,3784,110
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,3199,3468,103,3496,3881,126,4405,4788,126
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",664,269,170,893,340,162,952,423,152,1020,488,170
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,2246,1582,160,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,5370,4769,153,3648,3285,139
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",1010,522,137,1328,807,139,1586,1148,155,1708,1088,153
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,2977,4083,138,3369,4601,143,3392,4719,139
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,895,571,134,1106,760,124,1231,931,135
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,2751,3208,137,2991,3574,141,3219,3937,144
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,3433,3805,130,2928,3290,115,3386,3646,129
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,3572,3672,130,3357,3507,126,3726,3782,135
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,3495,3000,158,3352,3085,143,3157,2697,155
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",1115,598,170,1614,964,159,1803,1077,145,1998,1150,165
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,1956,2089,150,2268,2677,142
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",2659,3134,100,3756,4540,115,3988,4409,120,3178,3886,116
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,3262,3338,105,3979,4072,114,3645,3752,111
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,905,520,145,698,634,136,923,647,144
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",622,306,116,883,477,122,1106,654,127,1060,665,129
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,8206,9883,167
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,1675,649,168,1503,699,183
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,840,1350,126,1453,1062,95,1910,1545,115
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1589,882,174
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",3023,3083,119,2376,2532,111,2871,3198,117,2906,3191,118
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,2993,3969,138,2901,4284,130,3162,4631,129
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",1649,975,144,1658,963,122,2009,1200,128,2470,1379,143
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Total",NA,NA,NA,3403,2765,149,3402,2820,141,3266,2660,149
