"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,1017,1070,89,1112,1227,95,1101,1165,83
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,1532,1661,115,1673,1857,105,1785,1940,106
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",203,82,176,286,109,156,441,196,160,533,255,171
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1545,1088,166,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,971,1470,171,1699,1509,171,1325,1194,144
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",537,277,148,626,380,149,837,606,165,884,563,163
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,1804,2474,126,2155,2943,128,2180,3033,125
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,440,281,167,542,372,154,647,489,168
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,1378,1608,144,1656,1978,147,1773,2168,146
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1497,1682,129,1657,1784,128
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,1310,1347,102,2093,2186,112,1250,1268,97
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,1696,1456,179,1647,1516,182,1350,1153,164
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",521,279,173,694,414,160,864,516,158,815,469,153
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,1291,1936,147,1266,1352,144,1287,1518,128
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",1467,1729,NA,1203,1454,94,1728,1910,118,1572,1922,114
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,1430,1463,130,1694,1734,151,1687,1737,157
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,405,233,162,380,345,157,560,393,161
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",299,147,160,393,212,160,465,275,149,522,328,160
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,2550,3071,121
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1031,399,168,859,399,183
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1176,860,NA,1339,1083,138
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,927,514,174
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",745,760,NA,882,941,73,1107,1234,84,1398,1535,95
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,1547,2051,104,1666,2460,100,1901,2784,103
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",646,382,184,636,369,138,735,439,146,1007,563,171
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,805,654,166,888,736,162,902,735,167
"Romania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",243,100,165,360,180,174,412,204,169,525,279,185
"Serbia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,734,371,183
"Slovakia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",492,214,172,372,253,137,626,419,144,735,498,157
"Slovenia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1335,1123,160,1228,1003,162
"Spain","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","60 years or over","Total",1318,1123,166,1370,1237,148,1459,1373,135,1499,1384,139
