"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,2859,3007,116,2340,2582,125,2070,2190,111
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,2298,2491,138,2743,3046,133,2803,3047,119
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",310,126,158,472,180,165,696,309,156,783,375,163
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,1797,1265,166,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,1455,2203,161,2248,1997,172,3231,2910,170
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",760,393,144,1021,621,154,1286,931,161,1373,874,162
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,2356,3232,137,2793,3814,143,2826,3932,141
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,602,384,144,859,591,144,968,732,157
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,1684,1963,142,2024,2418,145,2161,2643,147
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,2203,2441,125,2005,2253,122,2207,2377,134
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,1844,1896,109,1875,1959,107,2363,2398,126
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,1995,1712,202,2208,2032,189,1834,1567,161
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",704,377,170,927,553,161,1007,602,149,1030,593,156
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,1485,2226,141,1452,1551,143,1690,1994,137
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,2971,3591,143,3103,3430,145,2520,3081,124
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,2533,2592,134,2500,2558,148,2288,2355,162
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,615,354,151,515,468,151,773,542,156
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",417,205,137,602,325,150,676,400,138,811,509,170
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,1296,502,167,1095,509,183
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,352,566,68,1803,1318,157,1997,1616,131
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1273,706,182
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",1267,1293,104,1379,1469,95,1622,1807,96,1846,2028,102
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,2354,3121,132,2339,3455,131,2540,3720,129
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","60 years or over","Total",994,587,176,937,545,123,1134,678,144,1391,776,168
