"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",1536,1532,130,1733,1822,136,1965,2168,142,2098,2220,130
"Belgium","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",NA,NA,NA,2069,2243,148,2431,2699,148,2774,3016,154
"Bulgaria","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",338,137,175,491,187,170,595,264,160,696,333,178
"Croatia","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1285,905,168,NA,NA,NA
"Cyprus","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",1416,1297,182,1054,1596,180,2153,1912,166,1923,1732,172
"Czech Rep.","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",640,331,158,955,581,173,1073,776,172,1238,788,171
"Denmark","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",2125,2736,135,2276,3121,135,2554,3488,128,2609,3631,132
"Estonia","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",602,315,182,781,499,176,892,613,165,1127,852,183
"Finland","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",1729,2051,160,2021,2357,161,2213,2643,159,2384,2916,160
"France","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",5223,5241,134,2533,2807,150,1945,2186,146,2174,2341,147
"Germany","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",2064,2136,144,1741,1790,110,1870,1953,122,2286,2320,140
"Greece","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",1511,1261,172,1355,1163,NA,2024,1862,171,2065,1764,176
"Hungary","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",652,349,176,819,489,170,925,553,155,1071,616,169
"Iceland","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",NA,NA,NA,2013,3018,196,1727,1845,183,2249,2654,189
"Ireland","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",1897,2237,169,2246,2715,174,2688,2972,168,2597,3176,158
"Italy","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",1596,1499,NA,1797,1839,168,1809,1851,163,2022,2082,176
"Latvia","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",524,264,180,627,360,172,561,510,163,902,633,168
"Lithuania","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",536,264,176,864,467,175,NA,NA,NA,1044,655,183
"Luxembourg","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1817,2189,143
"Macedonia","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1021,395,173,888,413,182
"Malta","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",NA,NA,NA,561,902,174,NA,NA,NA,1250,1011,148
"Montenegro","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1674,929,187
"Netherlands","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",2007,2047,152,1825,1945,152,1947,2169,139,2200,2416,145
"Norway","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",2028,2962,154,2458,3260,154,2553,3770,154,2959,4334,151
"Poland","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",797,472,183,890,517,162,1202,718,166,1420,793,184
"Portugal","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",926,709,173,1155,938,174,1137,943,175,1031,840,174
"Romania","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",577,237,183,573,286,178,879,436,171,908,483,187
"Serbia","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1182,596,187
"Slovakia","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",690,300,168,657,448,168,1000,669,166,1204,817,173
"Slovenia","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",1281,880,189,1279,955,179,1331,1120,154,1536,1254,178
"Spain","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",1670,1424,168,1452,1311,129,1019,959,85,1347,1243,106
"Sweden","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",1612,2017,161,1929,2324,162,2154,2664,162,2576,3234,166
"Switzerland","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",NA,NA,NA,NA,NA,NA,3033,4350,168,3403,5065,165
"Turkey","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",NA,NA,NA,759,437,202,NA,NA,NA,888,531,196
"United Kingdom","Industry and construction","Plant and machine operators and assemblers","60 years or over","Total",1865,2141,176,2165,2444,176,1961,2073,177,2130,2588,172
