"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",892,890,83,1401,1474,91,1509,1665,91,1338,1415,81
"Belgium",2774,2778,158,2319,2514,134,1744,1936,136,2145,2331,131
"Bulgaria",199,81,176,342,131,167,368,163,154,468,224,171
"Croatia",NA,NA,NA,NA,NA,NA,1588,1119,172,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,1364,1212,178,NA,NA,NA
"Czech Rep.",492,254,161,613,373,157,783,567,165,877,559,167
"Denmark",1232,1587,94,1484,2036,106,2360,3222,116,2514,3498,127
"Estonia",348,182,171,385,246,139,462,317,133,702,531,168
"Finland",1451,1721,135,1702,1985,149,1977,2361,150,2078,2541,148
"France",NA,NA,NA,NA,NA,NA,2558,2875,135,1438,1548,117
"Germany",967,1000,81,1075,1105,78,1195,1248,87,1196,1214,92
"Greece",NA,NA,NA,NA,NA,NA,1900,1749,178,NA,NA,NA
"Hungary",610,327,152,511,305,155,836,499,139,956,550,155
"Iceland",1320,1728,166,1887,2829,168,1955,2089,167,2366,2792,179
"Ireland",NA,NA,NA,2027,2450,139,1994,2205,146,NA,NA,NA
"Italy",1523,1431,170,2772,2836,165,1705,1745,138,2063,2123,175
"Latvia",297,150,168,354,203,166,362,329,148,661,464,165
"Lithuania",461,227,168,409,221,160,503,297,160,660,414,166
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,1095,424,169,869,404,181
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",NA,NA,NA,1636,1744,128,1785,1989,119,1865,2048,118
"Norway",1827,2668,131,2318,3074,141,2033,3002,125,2437,3570,131
"Poland",547,324,182,474,276,132,725,433,150,1012,565,179
"Portugal",NA,NA,NA,782,635,173,1038,861,164,1125,916,172
"Romania",317,130,185,395,197,178,526,261,164,595,316,179
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,951,480,184
"Slovakia",566,246,173,377,257,153,699,467,158,947,642,167
"Slovenia",NA,NA,NA,NA,NA,NA,1257,1057,156,1558,1272,179
"Spain",1794,1529,169,1286,1162,142,1119,1053,120,1662,1534,134
"Sweden",1466,1834,148,1943,2341,148,2099,2596,150,2480,3113,158
"Switzerland",NA,NA,NA,NA,NA,NA,2725,3908,148,3263,4858,132
"Turkey",NA,NA,NA,NA,NA,NA,676,418,202,759,454,196
"United Kingdom",1253,1439,116,1804,2036,142,1653,1747,135,1608,1954,138
