"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Skilled manual workers","60 years or over","Total",1869,1865,145,1709,1797,131,1949,2151,138,2240,2371,142
"Belgium","Industry and construction","Skilled manual workers","60 years or over","Total",NA,NA,NA,1871,2028,140,2382,2644,148,2699,2934,159
"Bulgaria","Industry and construction","Skilled manual workers","60 years or over","Total",350,142,179,487,186,170,636,282,160,753,360,177
"Croatia","Industry and construction","Skilled manual workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1258,886,170,NA,NA,NA
"Cyprus","Industry and construction","Skilled manual workers","60 years or over","Total",1557,1427,174,1171,1772,171,2200,1954,166,1956,1762,169
"Czech Rep.","Industry and construction","Skilled manual workers","60 years or over","Total",701,362,163,998,607,172,1085,786,172,1254,799,171
"Denmark","Industry and construction","Skilled manual workers","60 years or over","Total",2068,2664,128,2252,3089,131,2505,3421,124,2568,3573,127
"Estonia","Industry and construction","Skilled manual workers","60 years or over","Total",618,324,182,798,510,174,921,633,165,1150,869,180
"Finland","Industry and construction","Skilled manual workers","60 years or over","Total",1690,2004,158,2057,2399,160,2246,2684,160,2430,2972,160
"France","Industry and construction","Skilled manual workers","60 years or over","Total",3689,3702,133,2264,2509,150,1903,2138,142,2198,2367,148
"Germany","Industry and construction","Skilled manual workers","60 years or over","Total",2270,2349,150,1992,2048,120,1984,2073,123,2488,2525,142
"Greece","Industry and construction","Skilled manual workers","60 years or over","Total",1553,1296,171,2354,2020,181,1767,1626,167,1885,1611,167
"Hungary","Industry and construction","Skilled manual workers","60 years or over","Total",721,387,173,758,452,167,868,519,152,1086,625,165
"Iceland","Industry and construction","Skilled manual workers","60 years or over","Total",1790,2344,176,2014,3020,NA,1891,2020,177,2364,2789,183
"Ireland","Industry and construction","Skilled manual workers","60 years or over","Total",2136,2518,163,2745,3319,176,2763,3055,168,2827,3456,162
"Italy","Industry and construction","Skilled manual workers","60 years or over","Total",1669,1568,173,1655,1694,154,1752,1793,159,2085,2146,174
"Latvia","Industry and construction","Skilled manual workers","60 years or over","Total",550,277,178,650,373,170,558,507,156,863,605,161
"Lithuania","Industry and construction","Skilled manual workers","60 years or over","Total",558,275,176,824,445,171,800,473,161,947,594,177
"Luxembourg","Industry and construction","Skilled manual workers","60 years or over","Total",2340,2395,186,1917,2152,155,2125,2571,151,2188,2635,157
"Macedonia","Industry and construction","Skilled manual workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1081,419,173,870,405,181
"Malta","Industry and construction","Skilled manual workers","60 years or over","Total",1173,847,171,545,876,161,1681,1229,182,1427,1154,153
"Montenegro","Industry and construction","Skilled manual workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1574,873,184
"Netherlands","Industry and construction","Skilled manual workers","60 years or over","Total",1450,1479,122,1784,1901,143,2181,2429,146,2465,2707,154
"Norway","Industry and construction","Skilled manual workers","60 years or over","Total",2111,3083,155,2571,3409,157,2694,3979,155,3039,4451,154
"Poland","Industry and construction","Skilled manual workers","60 years or over","Total",799,472,184,873,507,158,1111,664,163,1437,802,183
"Portugal","Industry and construction","Skilled manual workers","60 years or over","Total",959,734,171,1038,843,174,1107,918,174,1109,903,174
"Romania","Industry and construction","Skilled manual workers","60 years or over","Total",489,201,186,597,298,171,797,395,169,887,472,182
"Serbia","Industry and construction","Skilled manual workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1132,571,187
"Slovakia","Industry and construction","Skilled manual workers","60 years or over","Total",688,299,169,673,459,170,1005,672,164,1193,809,173
"Slovenia","Industry and construction","Skilled manual workers","60 years or over","Total",1189,816,NA,1401,1046,180,1360,1144,153,1542,1259,178
"Spain","Industry and construction","Skilled manual workers","60 years or over","Total",1624,1384,170,1558,1407,140,1202,1131,100,1485,1371,117
"Sweden","Industry and construction","Skilled manual workers","60 years or over","Total",1690,2114,164,2024,2439,166,2251,2784,167,2592,3255,166
"Switzerland","Industry and construction","Skilled manual workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,2985,4281,165,3605,5368,167
"Turkey","Industry and construction","Skilled manual workers","60 years or over","Total",NA,NA,NA,NA,NA,197,1026,634,196,921,551,196
"United Kingdom","Industry and construction","Skilled manual workers","60 years or over","Total",2060,2366,175,2408,2718,177,2280,2410,175,2230,2709,172
