"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Technicians and associate professionals","60 years or over","Total",3490,3483,136,3282,3451,130,3188,3519,119,3506,3710,132
"Belgium","Industry and construction","Technicians and associate professionals","60 years or over","Total",3290,3294,173,3191,3459,165,3878,4306,154,4144,4504,164
"Bulgaria","Industry and construction","Technicians and associate professionals","60 years or over","Total",419,170,176,592,226,168,806,358,156,961,460,170
"Croatia","Industry and construction","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,2147,1513,170,NA,NA,NA
"Cyprus","Industry and construction","Technicians and associate professionals","60 years or over","Total",1980,1814,160,1301,1970,168,2708,2405,167,2196,1978,169
"Czech Rep.","Industry and construction","Technicians and associate professionals","60 years or over","Total",1018,526,159,1348,819,164,1484,1074,166,1713,1091,166
"Denmark","Industry and construction","Technicians and associate professionals","60 years or over","Total",2571,3311,134,3066,4206,153,3427,4680,150,3521,4900,152
"Estonia","Industry and construction","Technicians and associate professionals","60 years or over","Total",719,377,168,873,558,163,1099,755,159,1380,1044,175
"Finland","Industry and construction","Technicians and associate professionals","60 years or over","Total",2020,2396,152,2260,2636,150,2566,3065,153,2845,3479,159
"France","Industry and construction","Technicians and associate professionals","60 years or over","Total",2314,2322,120,3517,3897,153,2741,3080,144,3155,3398,149
"Germany","Industry and construction","Technicians and associate professionals","60 years or over","Total",3396,3514,144,3388,3483,125,3611,3772,132,3883,3941,141
"Greece","Industry and construction","Technicians and associate professionals","60 years or over","Total",2773,2314,179,3408,2926,182,3479,3202,183,2841,2427,172
"Hungary","Industry and construction","Technicians and associate professionals","60 years or over","Total",906,486,170,995,594,160,1162,694,151,1511,869,154
"Iceland","Industry and construction","Technicians and associate professionals","60 years or over","Total",2263,2964,NA,2277,3413,171,2081,2223,158,2850,3364,175
"Ireland","Industry and construction","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,4218,5099,173,3421,3783,161,3493,4271,167
"Italy","Industry and construction","Technicians and associate professionals","60 years or over","Total",2858,2684,176,3148,3221,170,3085,3157,166,3353,3451,181
"Latvia","Industry and construction","Technicians and associate professionals","60 years or over","Total",596,300,168,731,420,157,648,589,148,982,689,160
"Lithuania","Industry and construction","Technicians and associate professionals","60 years or over","Total",621,306,167,808,437,164,715,423,138,1026,644,158
"Luxembourg","Industry and construction","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,3306,3982,165
"Macedonia","Industry and construction","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,1497,580,171,1354,630,184
"Malta","Industry and construction","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,861,1383,155,2186,1599,196,1911,1546,146
"Montenegro","Industry and construction","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1930,1070,183
"Netherlands","Industry and construction","Technicians and associate professionals","60 years or over","Total",1924,1962,115,2430,2590,131,3296,3672,158,3461,3801,155
"Norway","Industry and construction","Technicians and associate professionals","60 years or over","Total",2872,4194,156,3548,4704,157,3645,5383,153,4183,6126,154
"Poland","Industry and construction","Technicians and associate professionals","60 years or over","Total",1102,652,182,1058,615,142,1432,856,152,1868,1043,177
"Portugal","Industry and construction","Technicians and associate professionals","60 years or over","Total",1695,1298,167,1882,1529,170,1969,1632,172,1948,1586,169
"Romania","Industry and construction","Technicians and associate professionals","60 years or over","Total",579,238,185,605,302,155,1157,573,160,1121,596,180
"Serbia","Industry and construction","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1487,750,185
"Slovakia","Industry and construction","Technicians and associate professionals","60 years or over","Total",981,426,171,873,595,160,1362,911,152,1553,1053,169
"Slovenia","Industry and construction","Technicians and associate professionals","60 years or over","Total",2655,1824,179,2773,2070,177,2361,1987,169,2518,2056,178
"Spain","Industry and construction","Technicians and associate professionals","60 years or over","Total",2973,2534,175,2316,2092,137,2039,1918,114,2533,2338,134
"Sweden","Industry and construction","Technicians and associate professionals","60 years or over","Total",2199,2752,165,2653,3197,167,2887,3571,168,3242,4071,168
"Switzerland","Industry and construction","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,NA,NA,NA,4040,5794,165,4407,6561,161
"Turkey","Industry and construction","Technicians and associate professionals","60 years or over","Total",NA,NA,NA,1585,912,198,1762,1089,198,1618,968,168
"United Kingdom","Industry and construction","Technicians and associate professionals","60 years or over","Total",2713,3116,150,2938,3316,162,2731,2886,162,2633,3199,163
