"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,1788,1880,100,1564,1726,92,1723,1823,97
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,2330,2526,141,2459,2730,135,2840,3087,146
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",278,113,171,447,171,163,582,258,150,660,316,169
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1641,1156,167,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,1069,1617,163,NA,NA,172,1441,1298,150
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",554,286,134,792,481,151,1089,788,159,1241,790,163
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,2179,2988,138,2520,3441,138,2633,3663,139
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,556,355,148,692,476,145,864,653,164
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,1618,1888,139,1818,2171,141,1984,2426,146
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,1589,1761,129,1835,2062,135,2098,2259,134
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,2115,2175,106,1467,1533,95,2203,2236,120
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,2038,1749,170,2095,1928,166,2174,1857,166
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",612,328,160,747,446,155,938,560,139,1076,619,142
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,1514,2270,158,1544,1649,155,1734,2046,149
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",1596,1882,127,1864,2253,137,2267,2506,136,2019,2468,128
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,2606,2666,152,2246,2298,156,2396,2466,163
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,543,312,162,521,474,150,795,557,157
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",376,185,153,562,304,156,678,401,144,736,462,164
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,2339,2626,134,2604,3150,140,2492,3002,131
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1447,560,168,986,459,184
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,616,991,143,1403,1026,148,1459,1180,147
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1314,729,179
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",1764,1799,121,1477,1574,111,1653,1842,108,1900,2086,117
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,2200,2917,138,2241,3310,134,2530,3705,136
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",897,530,183,895,520,143,1166,697,151,1483,828,175
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,1293,1050,164,1485,1231,161,1585,1291,164
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",512,210,183,588,294,167,721,357,158,810,430,169
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1175,593,183
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",388,168,149,484,330,151,807,540,141,1017,689,159
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",1807,1241,176,1493,1114,176,1733,1458,164,2017,1647,176
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",2119,1806,169,1800,1626,144,1706,1605,122,1833,1692,143
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",1506,1885,151,1691,2037,149,1909,2361,154,2256,2833,157
"Switzerland","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,2892,4148,140,2681,3991,124
"Turkey","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",NA,NA,NA,1830,1052,NA,1904,1176,187,1381,826,183
"United Kingdom","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","60 years or over","Total",1321,1517,116,1411,1593,115,1259,1331,110,1270,1543,113
