"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,5787,6085,150,6902,7618,146,7743,8193,159
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,5404,5858,155,6425,7132,153,7614,8276,161
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",769,312,181,1127,430,172,1620,719,163,1818,870,178
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,NA,NA,NA,3412,2403,166,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,3206,4853,167,6498,5772,166,6656,5995,163
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",1937,1001,163,2582,1570,168,2654,1921,167,2952,1881,165
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,4316,5919,158,5083,6942,158,5380,7486,158
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,1470,939,171,1904,1308,161,2090,1581,176
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,4558,5316,154,4908,5863,155,5133,6278,156
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,7489,8300,166,5714,6422,159,5697,6135,155
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,5915,6081,145,5036,5260,134,6560,6657,154
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,5535,4751,178,6163,5672,173,5225,4464,187
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",2086,1118,181,2226,1329,174,2708,1617,158,2788,1604,164
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,3538,5305,174,3258,3479,175,3968,4683,176
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",3408,4018,152,3773,4561,158,4580,5065,156,3790,4635,143
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,6863,7022,151,6487,6638,157,7315,7529,173
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,1241,713,167,1047,952,152,1512,1060,163
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",1150,566,177,1451,784,166,1634,966,162,2092,1312,175
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,10262,11520,162,9193,11120,163,7546,9088,162
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,NA,NA,NA,2566,994,167,2133,992,182
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,1517,2438,159,3163,2313,147,2797,2263,140
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,2192,1216,178
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",3305,3370,152,3787,4037,142,4413,4917,144,4702,5164,148
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,4285,5681,156,4502,6649,155,5107,7479,155
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",2844,1682,184,3116,1811,166,3287,1964,160,3775,2108,179
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,4397,3573,163,4424,3667,161,4492,3659,166
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",1544,635,185,2176,1086,175,2523,1250,167,2398,1274,182
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,2044,1031,184
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",1637,712,176,1929,1315,166,2482,1661,155,2677,1815,165
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",4013,2756,161,4920,3673,174,5220,4392,165,5361,4377,174
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",4412,3760,174,5883,5313,168,4404,4143,140,4403,4064,147
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",3482,4358,167,3745,4513,165,3960,4899,168,4712,5916,169
"Switzerland","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,NA,NA,NA,6742,9669,165,6874,10233,163
"Turkey","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",NA,NA,NA,3498,2012,191,4013,2480,186,5221,3122,187
"United Kingdom","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","60 years or over","Total",3641,4181,156,4101,4628,154,3789,4005,149,3812,4631,149
