"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,2781,2924,112,2876,3174,109,3062,3240,111
"Belgium",NA,NA,NA,3058,3315,136,3418,3794,137,3806,4137,141
"Bulgaria",499,202,169,632,241,157,727,323,152,897,429,170
"Croatia",NA,NA,NA,NA,NA,NA,2214,1559,165,NA,NA,NA
"Cyprus",NA,NA,NA,1847,2795,164,3004,2668,169,2879,2593,161
"Czech Rep.",1040,538,151,1439,875,156,1500,1086,160,1673,1066,161
"Denmark",NA,NA,NA,2752,3775,139,3172,4332,140,3265,4543,138
"Estonia",NA,NA,NA,839,536,153,1005,691,144,1158,876,160
"Finland",NA,NA,NA,2250,2624,143,2476,2958,146,2649,3239,148
"France",NA,NA,NA,3753,4160,140,3103,3487,135,3386,3646,139
"Germany",NA,NA,NA,2818,2897,115,2624,2741,114,2847,2889,123
"Greece",NA,NA,NA,3267,2805,165,3268,3008,157,3132,2676,163
"Hungary",1234,662,171,1452,867,162,1693,1011,148,1877,1080,158
"Iceland",NA,NA,NA,1994,2990,157,1845,1971,153,2212,2611,147
"Ireland",2248,2651,114,2716,3283,133,2901,3208,134,2432,2974,126
"Italy",NA,NA,NA,3079,3150,133,3425,3505,139,3278,3374,142
"Latvia",NA,NA,NA,769,442,157,681,619,146,973,682,153
"Lithuania",679,335,144,897,485,143,1009,597,137,1095,687,150
"Luxembourg",NA,NA,NA,5539,6218,148,5311,6424,149,4613,5556,151
"Macedonia",NA,NA,NA,NA,NA,NA,1658,642,168,1464,681,183
"Malta",NA,NA,NA,923,1484,141,1809,1323,132,1835,1484,138
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1691,938,177
"Netherlands",2943,3002,127,2202,2347,114,2400,2674,115,2651,2912,121
"Norway",NA,NA,NA,2904,3850,140,2855,4216,132,3248,4757,133
"Poland",1619,957,171,1665,968,140,1893,1131,148,2266,1265,170
"Portugal",NA,NA,NA,2345,1905,161,2417,2004,158,2333,1900,162
"Romania",952,392,183,1177,588,168,1323,656,159,1354,720,175
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1507,760,182
"Slovakia",916,398,160,894,610,148,1241,830,145,1496,1014,158
"Slovenia",3631,2494,168,3657,2730,176,3478,2926,167,3461,2826,176
"Spain",2650,2258,166,2552,2305,142,2199,2069,124,2397,2213,138
"Sweden",2142,2681,155,2212,2665,148,2402,2971,151,2744,3446,150
"Switzerland",NA,NA,NA,NA,NA,NA,3040,4360,129,3808,5669,133
"Turkey",NA,NA,NA,2551,1467,188,2644,1634,178,2619,1566,180
"United Kingdom",1952,2242,119,2235,2523,119,2146,2267,122,2121,2577,124
