"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1126,1184,92,1010,1114,84,1059,1121,78
"Belgium",NA,NA,NA,1600,1735,123,1752,1945,117,1789,1945,114
"Bulgaria",172,70,156,239,91,137,367,163,149,446,214,169
"Croatia",NA,NA,NA,NA,NA,NA,1455,1025,170,NA,NA,NA
"Cyprus",NA,NA,NA,849,1285,171,1431,1272,173,1469,1323,171
"Czech Rep.",485,251,160,619,377,162,707,512,159,792,505,160
"Denmark",NA,NA,NA,1632,2239,116,2046,2794,121,2060,2866,118
"Estonia",NA,NA,NA,485,310,169,551,379,151,685,518,169
"Finland",NA,NA,NA,1362,1589,140,1643,1963,144,1761,2154,145
"France",NA,NA,NA,1426,1580,137,1503,1689,133,1768,1904,132
"Germany",NA,NA,NA,1139,1171,89,1434,1498,99,1236,1255,98
"Greece",NA,NA,NA,1514,1299,175,1595,1468,173,1343,1147,158
"Hungary",513,275,164,638,381,152,749,447,139,846,487,153
"Iceland",NA,NA,NA,1421,2130,154,1427,1524,149,1530,1805,139
"Ireland",1300,1532,123,1388,1678,121,1684,1862,123,1475,1804,117
"Italy",NA,NA,NA,1476,1510,130,1567,1604,147,1612,1660,151
"Latvia",NA,NA,NA,410,235,166,391,355,153,588,412,160
"Lithuania",345,170,162,397,215,155,472,279,146,575,361,163
"Luxembourg",NA,NA,NA,1394,1565,NA,1575,1906,130,1978,2382,130
"Macedonia",NA,NA,NA,NA,NA,NA,1122,435,168,840,390,180
"Malta",NA,NA,NA,488,785,152,1056,772,130,1212,980,141
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,866,481,178
"Netherlands",762,777,75,1071,1141,92,1186,1322,92,1405,1543,99
"Norway",NA,NA,NA,1659,2200,113,1695,2503,105,1923,2817,107
"Poland",496,293,186,481,279,153,648,387,155,895,500,175
"Portugal",NA,NA,NA,810,658,170,1084,899,164,1009,822,167
"Romania",241,99,170,342,171,172,441,219,165,506,269,178
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,794,401,184
"Slovakia",547,238,166,382,260,147,641,429,148,789,535,161
"Slovenia",NA,NA,NA,1397,1043,196,1235,1039,163,1258,1027,171
"Spain",1443,1230,170,1323,1195,143,1290,1214,129,1466,1353,136
"Sweden",1259,1576,131,1458,1757,131,1647,2038,137,1886,2368,136
"Switzerland",NA,NA,NA,NA,NA,NA,1906,2733,115,2108,3138,109
"Turkey",NA,NA,NA,860,495,193,670,414,186,755,451,188
"United Kingdom",901,1035,102,983,1109,100,1068,1129,111,1047,1272,111
