"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1970,1966,104,1865,1961,98,1733,1912,98,1711,1811,96
"Belgium",2140,2142,138,2278,2469,136,2318,2574,134,2833,3079,148
"Bulgaria",271,110,175,472,180,160,576,256,144,628,300,164
"Croatia",NA,NA,NA,NA,NA,NA,1667,1174,167,NA,NA,NA
"Cyprus",NA,NA,NA,1087,1645,170,1872,1662,176,1382,1245,149
"Czech Rep.",576,298,138,810,492,151,1186,859,161,1301,829,164
"Denmark",1989,2562,135,2218,3043,139,2521,3443,138,2623,3649,139
"Estonia",430,225,135,540,345,134,707,486,138,877,663,163
"Finland",1373,1629,137,1648,1922,139,1888,2256,142,2046,2502,147
"France",1524,1529,120,1557,1726,138,1882,2116,133,2132,2296,135
"Germany",1982,2051,112,2188,2249,107,1405,1467,94,2199,2232,121
"Greece",1572,1312,163,2019,1733,170,2095,1928,164,2580,2204,164
"Hungary",649,348,159,727,434,153,939,561,136,1088,626,142
"Iceland",NA,NA,NA,1569,2353,161,1555,1661,155,1787,2109,150
"Ireland",1591,1875,132,1828,2210,141,2349,2597,142,1855,2268,133
"Italy",2355,2212,175,2893,2960,159,2641,2703,157,2554,2628,167
"Latvia",422,213,168,587,337,161,543,494,150,794,557,154
"Lithuania",367,181,147,534,289,153,584,345,135,741,465,159
"Luxembourg",NA,NA,NA,2504,2811,149,2450,2964,134,2036,2452,127
"Macedonia",NA,NA,NA,NA,NA,NA,1652,640,169,950,442,183
"Malta",NA,NA,NA,605,972,143,1524,1114,153,1488,1203,147
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1281,710,179
"Netherlands",1780,1816,125,1396,1488,108,1665,1855,109,1727,1896,110
"Norway",1816,2653,137,2204,2922,139,2290,3382,136,2580,3779,138
"Poland",951,563,184,875,508,142,1134,678,151,1460,815,175
"Portugal",1297,993,167,1427,1159,166,1619,1342,162,1797,1464,165
"Romania",519,214,180,547,273,164,732,363,159,767,407,158
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1269,640,182
"Slovakia",368,160,146,481,328,152,791,529,138,1054,715,163
"Slovenia",NA,NA,NA,1427,1066,177,1657,1394,168,1879,1534,175
"Spain",2134,1818,168,1716,1549,142,1717,1616,117,1860,1717,142
"Sweden",1484,1857,149,1778,2143,152,2047,2533,157,2375,2982,160
"Switzerland",NA,NA,NA,NA,NA,NA,3024,4337,142,2508,3733,120
"Turkey",NA,NA,NA,1962,1128,189,2215,1369,185,1394,833,180
"United Kingdom",1391,1597,123,1441,1627,121,1346,1423,117,1433,1741,125
