"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1079,1076,96,1560,1641,132,1523,1681,125,2092,2214,149
"Belgium",NA,NA,NA,1511,1638,126,1779,1975,118,2514,2733,147
"Bulgaria",366,148,174,422,161,161,661,293,160,617,295,155
"Croatia",NA,NA,NA,NA,NA,NA,1630,1148,169,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,180,1609,1449,176
"Czech Rep.",746,386,163,1091,663,170,1169,846,171,1304,831,170
"Denmark",2175,2801,139,2352,3226,140,2558,3494,133,2557,3558,128
"Estonia",522,274,173,681,435,163,886,608,150,1109,838,171
"Finland",1617,1917,160,1797,2095,153,2066,2469,157,2222,2718,158
"France",1708,1714,134,NA,NA,NA,1827,2054,145,2111,2273,136
"Germany",1437,1486,99,1570,1614,105,1660,1734,117,2095,2126,135
"Greece",1329,1109,167,2037,1748,189,NA,NA,NA,1774,1516,169
"Hungary",632,338,157,738,441,159,833,498,142,948,545,153
"Iceland",NA,NA,NA,NA,NA,186,2049,2188,189,2286,2698,176
"Ireland",2030,2393,148,NA,NA,180,2434,2691,151,2246,2746,145
"Italy",1503,1412,166,1762,1802,157,1119,1145,122,1014,1044,117
"Latvia",503,254,173,614,353,167,647,588,157,864,606,159
"Lithuania",463,228,155,638,345,158,NA,NA,NA,1025,643,173
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,1875,2258,141
"Macedonia",NA,NA,NA,NA,NA,NA,1447,561,167,811,377,184
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,1581,1279,161
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1787,1822,140,1463,1559,117,1778,1981,120,2028,2228,136
"Norway",2108,3079,155,2423,3212,151,2697,3983,152,2826,4138,147
"Poland",860,508,182,884,514,153,1156,691,160,1464,818,179
"Portugal",1013,775,172,1042,846,173,1307,1083,171,1145,933,167
"Romania",356,147,180,474,237,173,760,377,163,728,387,175
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1502,758,185
"Slovakia",790,343,169,563,384,161,858,574,159,1066,723,159
"Slovenia",NA,NA,NA,1556,1161,NA,1620,1363,169,1564,1277,176
"Spain",1753,1494,181,1611,1455,148,1412,1328,111,1725,1593,122
"Sweden",1560,1953,163,1901,2290,163,2257,2792,168,2521,3166,170
"Switzerland",NA,NA,NA,NA,NA,NA,2929,4200,160,3248,4836,153
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,1102,659,198
"United Kingdom",1820,2090,160,2331,2631,171,2073,2191,157,2220,2697,163
