"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Non manual workers","60 years or over","Total",2337,2332,108,2304,2423,108,2729,3012,105,2869,3035,108
"Belgium","Services of the business economy","Non manual workers","60 years or over","Total",2875,2879,145,3029,3283,141,3228,3584,138,3808,4139,148
"Bulgaria","Services of the business economy","Non manual workers","60 years or over","Total",435,176,165,487,186,146,580,257,149,732,350,169
"Croatia","Services of the business economy","Non manual workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,2284,1609,168,NA,NA,NA
"Cyprus","Services of the business economy","Non manual workers","60 years or over","Total",1879,1722,168,1773,2684,168,2774,2464,172,2565,2310,168
"Czech Rep.","Services of the business economy","Non manual workers","60 years or over","Total",981,507,157,1447,880,162,1418,1026,158,1607,1024,160
"Denmark","Services of the business economy","Non manual workers","60 years or over","Total",2297,2958,125,2790,3826,138,3225,4404,137,3427,4768,136
"Estonia","Services of the business economy","Non manual workers","60 years or over","Total",752,394,161,881,563,161,990,680,150,1195,904,169
"Finland","Services of the business economy","Non manual workers","60 years or over","Total",1771,2100,142,2206,2573,142,2510,2999,145,2695,3295,149
"France","Services of the business economy","Non manual workers","60 years or over","Total",3561,3573,130,3809,4221,144,3386,3805,141,3691,3975,144
"Germany","Services of the business economy","Non manual workers","60 years or over","Total",2454,2539,119,2559,2631,109,2269,2370,108,2509,2546,119
"Greece","Services of the business economy","Non manual workers","60 years or over","Total",2111,1762,161,2704,2321,171,3503,3224,164,3131,2675,162
"Hungary","Services of the business economy","Non manual workers","60 years or over","Total",1304,699,165,1393,831,158,1638,979,143,1953,1124,154
"Iceland","Services of the business economy","Non manual workers","60 years or over","Total",1358,1778,156,2069,3102,167,2077,2218,161,2439,2878,158
"Ireland","Services of the business economy","Non manual workers","60 years or over","Total",1800,2122,135,2263,2735,140,2849,3150,143,2119,2591,129
"Italy","Services of the business economy","Non manual workers","60 years or over","Total",2654,2493,172,3271,3347,156,3258,3334,156,3140,3232,165
"Latvia","Services of the business economy","Non manual workers","60 years or over","Total",620,313,166,735,422,162,729,663,148,1076,754,152
"Lithuania","Services of the business economy","Non manual workers","60 years or over","Total",755,372,161,903,488,151,948,560,140,1006,631,158
"Luxembourg","Services of the business economy","Non manual workers","60 years or over","Total",4535,4641,159,5796,6506,153,5266,6369,153,4125,4968,149
"Macedonia","Services of the business economy","Non manual workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,1794,695,169,1372,638,182
"Malta","Services of the business economy","Non manual workers","60 years or over","Total",1797,1298,144,982,1578,147,1875,1371,142,1777,1437,143
"Montenegro","Services of the business economy","Non manual workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,1067,179
"Netherlands","Services of the business economy","Non manual workers","60 years or over","Total",3415,3483,138,2200,2345,117,2367,2637,117,2649,2909,122
"Norway","Services of the business economy","Non manual workers","60 years or over","Total",2309,3373,140,2872,3808,142,3046,4498,140,3485,5103,141
"Poland","Services of the business economy","Non manual workers","60 years or over","Total",1496,884,183,1555,904,151,1666,996,155,2075,1159,174
"Portugal","Services of the business economy","Non manual workers","60 years or over","Total",1780,1363,167,2324,1888,166,2448,2029,162,2464,2007,164
"Romania","Services of the business economy","Non manual workers","60 years or over","Total",847,348,178,942,470,162,1282,635,156,1229,653,171
"Serbia","Services of the business economy","Non manual workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1482,748,184
"Slovakia","Services of the business economy","Non manual workers","60 years or over","Total",866,376,159,933,636,155,1231,824,147,1431,970,158
"Slovenia","Services of the business economy","Non manual workers","60 years or over","Total",3520,2417,157,3844,2869,175,3025,2544,164,2998,2448,174
"Spain","Services of the business economy","Non manual workers","60 years or over","Total",2591,2208,173,2558,2310,149,2012,1893,126,2206,2036,141
"Sweden","Services of the business economy","Non manual workers","60 years or over","Total",2011,2517,151,2451,2954,155,2700,3340,158,3217,4039,159
"Switzerland","Services of the business economy","Non manual workers","60 years or over","Total",NA,NA,NA,NA,NA,NA,2930,4202,132,3787,5638,133
"Turkey","Services of the business economy","Non manual workers","60 years or over","Total",NA,NA,NA,2700,1553,193,2559,1581,183,2131,1274,175
"United Kingdom","Services of the business economy","Non manual workers","60 years or over","Total",1893,2174,126,2170,2449,124,2149,2271,129,2217,2693,130
