"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1156,1153,130,1161,1221,131,NA,NA,NA,1255,1328,118
"Belgium",NA,NA,NA,1533,1662,135,NA,NA,NA,1905,2071,123
"Bulgaria",343,139,179,434,166,171,568,252,160,590,282,176
"Croatia",NA,NA,NA,NA,NA,NA,1167,822,171,NA,NA,NA
"Cyprus",1279,1172,175,NA,NA,NA,1553,1379,178,1673,1507,189
"Czech Rep.",741,383,163,986,599,176,1133,820,175,1217,775,175
"Denmark",1712,2204,123,1950,2674,128,2073,2831,111,2050,2852,113
"Estonia",592,310,187,835,534,176,935,642,165,1175,889,180
"Finland",1713,2031,166,1816,2117,158,2211,2641,162,2266,2772,158
"France",1566,1572,130,NA,NA,NA,1424,1600,122,1605,1728,121
"Germany",1600,1655,130,1324,1361,109,1332,1391,116,1260,1279,107
"Greece",1376,1148,164,NA,NA,NA,NA,NA,NA,1683,1438,168
"Hungary",660,354,177,769,459,168,780,466,158,998,574,163
"Iceland",NA,NA,NA,2016,3024,NA,NA,NA,NA,2047,2416,185
"Ireland",1985,2340,169,1986,2400,157,2213,2447,156,1816,2220,142
"Italy",NA,NA,NA,2131,2180,169,2324,2378,174,1892,1948,166
"Latvia",513,259,178,588,338,167,658,598,153,793,556,143
"Lithuania",573,282,167,624,337,158,NA,NA,NA,887,556,178
"Luxembourg",NA,NA,NA,1847,2073,141,1843,2230,139,1941,2338,144
"Macedonia",NA,NA,NA,NA,NA,NA,1265,490,167,771,359,179
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,1221,988,134
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1229,681,171
"Netherlands",NA,NA,NA,1160,1237,108,1246,1388,103,1436,1577,107
"Norway",1765,2578,142,2160,2864,147,2182,3223,136,2239,3279,130
"Poland",775,458,188,850,494,164,1028,614,165,1244,695,180
"Portugal",1034,792,177,1125,914,177,1117,926,170,1152,938,174
"Romania",401,165,208,480,240,167,833,413,163,858,456,178
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1015,512,184
"Slovakia",554,241,167,576,393,160,932,623,162,1078,731,172
"Slovenia",NA,NA,NA,NA,NA,NA,1582,1331,165,1312,1071,174
"Spain",1664,1418,178,1279,1155,133,1212,1140,108,1597,1474,133
"Sweden",1513,1894,160,1880,2266,164,2054,2541,163,2313,2905,165
"Switzerland",NA,NA,NA,NA,NA,NA,2537,3639,152,2818,4195,139
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,600,359,162
"United Kingdom",1707,1960,180,1847,2084,168,1675,1770,164,1719,2089,161
