"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1517,1514,91,1628,1712,98,1965,2168,100,2189,2316,104
"Belgium",2231,2234,135,2487,2696,137,2678,2972,131,3113,3383,137
"Bulgaria",337,137,158,416,159,147,543,241,148,640,307,165
"Croatia",NA,NA,NA,NA,NA,NA,2041,1438,168,NA,NA,NA
"Cyprus",1424,1305,168,1322,2001,170,2217,1969,171,2066,1861,168
"Czech Rep.",808,418,155,1212,737,162,1273,921,161,1444,920,164
"Denmark",1996,2570,118,2455,3368,130,2851,3894,129,2973,4137,127
"Estonia",555,291,159,666,426,151,850,584,147,1020,771,161
"Finland",1635,1940,142,2012,2347,142,2322,2774,145,2495,3051,149
"France",2822,2831,122,2986,3309,130,2691,3025,131,3059,3294,136
"Germany",1593,1648,93,1779,1829,94,1741,1819,101,1755,1781,100
"Greece",1688,1409,160,2023,1737,167,2641,2430,160,2324,1986,157
"Hungary",961,515,159,1063,634,153,1225,732,139,1333,767,150
"Iceland",1394,1825,163,2013,3018,170,2004,2141,168,2329,2749,160
"Ireland",1686,1988,135,2039,2465,139,2630,2908,143,2006,2453,130
"Italy",2268,2130,167,2659,2721,154,2567,2627,153,2463,2535,155
"Latvia",511,258,169,592,340,162,636,578,149,879,616,149
"Lithuania",587,289,159,714,386,151,806,476,141,848,532,155
"Luxembourg",3594,3678,152,4143,4650,141,3773,4565,145,3001,3614,139
"Macedonia",NA,NA,NA,NA,NA,NA,1608,623,168,1212,564,181
"Malta",1458,1053,140,831,1335,137,1733,1267,142,1641,1327,142
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1775,985,177
"Netherlands",2536,2587,118,1690,1801,108,1898,2115,110,2168,2381,116
"Norway",2152,3143,136,2686,3561,139,2847,4204,137,3200,4687,137
"Poland",1265,748,183,1287,748,151,1457,871,155,1814,1013,175
"Portugal",1197,916,160,1643,1335,167,1786,1480,157,1703,1388,152
"Romania",736,303,180,794,397,161,1101,546,158,1051,559,172
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1441,727,184
"Slovakia",780,339,161,717,489,152,1059,708,147,1264,857,161
"Slovenia",3370,2314,159,3417,2550,174,2752,2315,164,2613,2134,173
"Spain",1846,1573,161,1862,1681,140,1614,1518,119,1711,1579,129
"Sweden",1859,2326,152,2279,2746,155,2460,3043,157,2877,3613,158
"Switzerland",NA,NA,NA,NA,NA,NA,2757,3954,133,3454,5141,130
"Turkey",NA,NA,NA,2156,1240,195,2072,1280,187,1702,1018,175
"United Kingdom",1636,1878,137,2036,2298,139,1892,1999,131,1968,2391,133
