"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Clerical support workers","From 30 to 39 years","Total",2067,2062,155,2144,2255,154,1952,2154,144,2140,2264,145
"Belgium","Business economy","Clerical support workers","From 30 to 39 years","Total",2106,2108,163,2182,2365,157,2224,2468,152,2399,2608,161
"Bulgaria","Business economy","Clerical support workers","From 30 to 39 years","Total",297,121,180,444,169,173,700,311,163,806,386,180
"Croatia","Business economy","Clerical support workers","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,1438,1013,168,NA,NA,NA
"Cyprus","Business economy","Clerical support workers","From 30 to 39 years","Total",1357,1244,168,1027,1554,167,1833,1628,167,1601,1442,169
"Czech Rep.","Business economy","Clerical support workers","From 30 to 39 years","Total",754,390,166,997,606,167,1218,882,167,1335,850,167
"Denmark","Business economy","Clerical support workers","From 30 to 39 years","Total",2206,2841,150,2251,3087,145,2628,3589,147,2676,3724,145
"Estonia","Business economy","Clerical support workers","From 30 to 39 years","Total",722,378,178,878,561,171,1081,743,160,1331,1007,180
"Finland","Business economy","Clerical support workers","From 30 to 39 years","Total",1658,1966,162,1883,2196,159,2076,2480,156,2091,2558,157
"France","Business economy","Clerical support workers","From 30 to 39 years","Total",1541,1546,140,1556,1724,145,1658,1863,146,1886,2031,147
"Germany","Business economy","Clerical support workers","From 30 to 39 years","Total",2438,2523,151,2692,2768,150,2107,2201,141,2533,2571,151
"Greece","Business economy","Clerical support workers","From 30 to 39 years","Total",1297,1083,169,1495,1283,169,1548,1424,165,1465,1252,164
"Hungary","Business economy","Clerical support workers","From 30 to 39 years","Total",734,394,180,865,517,178,1193,713,164,1337,769,166
"Iceland","Business economy","Clerical support workers","From 30 to 39 years","Total",1656,2169,153,1733,2598,157,1828,1952,161,2098,2477,160
"Ireland","Business economy","Clerical support workers","From 30 to 39 years","Total",1982,2337,147,2233,2699,160,2474,2735,157,2356,2880,149
"Italy","Business economy","Clerical support workers","From 30 to 39 years","Total",1934,1816,172,1945,1990,166,1972,2018,160,1918,1974,169
"Latvia","Business economy","Clerical support workers","From 30 to 39 years","Total",541,273,173,717,412,168,593,539,153,966,678,166
"Lithuania","Business economy","Clerical support workers","From 30 to 39 years","Total",550,271,167,721,389,168,767,454,156,1035,649,174
"Luxembourg","Business economy","Clerical support workers","From 30 to 39 years","Total",2751,2816,164,2429,2726,160,2622,3172,155,2661,3204,172
"Macedonia","Business economy","Clerical support workers","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,1205,467,167,1018,474,180
"Malta","Business economy","Clerical support workers","From 30 to 39 years","Total",1465,1058,171,693,1114,164,1678,1227,166,1687,1364,162
"Montenegro","Business economy","Clerical support workers","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1104,612,177
"Netherlands","Business economy","Clerical support workers","From 30 to 39 years","Total",1634,1667,123,1652,1761,128,1885,2100,133,1992,2188,139
"Norway","Business economy","Clerical support workers","From 30 to 39 years","Total",2005,2929,151,2358,3127,151,2504,3699,150,2763,4047,150
"Poland","Business economy","Clerical support workers","From 30 to 39 years","Total",912,539,186,941,547,172,1176,703,165,1375,768,180
"Portugal","Business economy","Clerical support workers","From 30 to 39 years","Total",1277,978,168,1227,997,167,1296,1074,168,1331,1084,168
"Romania","Business economy","Clerical support workers","From 30 to 39 years","Total",476,196,182,620,310,175,811,402,167,832,442,180
"Serbia","Business economy","Clerical support workers","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1132,571,185
"Slovakia","Business economy","Clerical support workers","From 30 to 39 years","Total",524,228,162,676,461,166,1083,724,160,1230,834,170
"Slovenia","Business economy","Clerical support workers","From 30 to 39 years","Total",1306,897,170,1475,1101,176,1482,1247,166,1606,1311,173
"Spain","Business economy","Clerical support workers","From 30 to 39 years","Total",1436,1224,173,1465,1323,162,1575,1482,162,1603,1479,162
"Sweden","Business economy","Clerical support workers","From 30 to 39 years","Total",1573,1968,159,1862,2244,161,2077,2569,165,2374,2981,166
"Switzerland","Business economy","Clerical support workers","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,3143,4507,161,2726,4058,146
"Turkey","Business economy","Clerical support workers","From 30 to 39 years","Total",NA,NA,NA,1314,756,197,1415,874,196,1338,800,197
"United Kingdom","Business economy","Clerical support workers","From 30 to 39 years","Total",1839,2112,141,1933,2181,142,1846,1951,144,1780,2163,147
