"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,1091,1147,136,979,1081,126,1098,1162,122
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,1220,1323,130,1333,1480,126,1516,1648,129
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",177,72,179,251,96,165,361,160,163,419,200,171
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,785,553,160,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,799,1210,167,1318,1170,168,1079,972,176
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",482,249,164,554,337,160,639,463,166,652,415,164
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,1624,2228,130,1822,2488,129,1763,2453,122
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,325,208,157,441,303,151,557,421,167
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,1363,1590,156,1459,1743,154,1545,1889,155
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,1091,1209,126,951,1068,114,1001,1078,125
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,1396,1435,119,1081,1129,123,823,835,83
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,1481,1272,156,1301,1197,157,977,835,156
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",438,235,182,532,318,171,562,336,156,659,379,158
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,1012,1518,137,944,1008,126,1147,1353,128
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",1209,1425,122,1679,2029,143,2077,2297,151,2030,2483,126
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,1374,1406,150,1210,1239,143,1321,1360,147
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,324,186,166,294,268,152,445,312,152
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",282,139,170,369,199,163,396,234,150,476,299,153
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,1650,1852,150,1606,1942,148,1685,2029,160
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,700,271,167,610,284,180
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,594,955,185,1105,808,156,1141,923,132
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,628,349,172
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",1282,1308,106,1068,1138,97,902,1005,86,845,928,79
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,1676,2222,125,1834,2708,121,1636,2395,115
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",513,304,183,593,344,163,676,404,157,850,475,168
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,780,634,160,801,664,162,780,635,165
"Romania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",233,96,183,345,172,173,364,180,161,431,229,174
"Serbia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,583,294,183
"Slovakia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",383,167,170,378,258,159,609,408,156,643,436,158
"Slovenia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",916,629,160,911,680,174,1017,856,160,966,789,168
"Spain","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",1083,923,157,1129,1020,150,1010,950,142,1007,929,141
"Sweden","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","From 30 to 39 years","Total",NA,NA,NA,1241,1495,133,1304,1613,133,1504,1889,135
