"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1871,1967,135,1825,2014,129,1970,2085,131
"Belgium",NA,NA,NA,2002,2171,124,2250,2497,129,2375,2582,125
"Bulgaria",324,131,180,501,191,173,719,319,162,809,387,175
"Croatia",NA,NA,NA,NA,NA,NA,1513,1065,160,NA,NA,NA
"Cyprus",NA,NA,NA,1382,2091,153,2826,2510,144,2380,2143,147
"Czech Rep.",927,479,167,1110,675,164,1255,908,166,1332,849,162
"Denmark",NA,NA,NA,2099,2880,140,2575,3516,143,2576,3584,140
"Estonia",NA,NA,NA,853,545,152,1062,730,145,1197,906,156
"Finland",NA,NA,NA,1945,2269,159,2196,2624,156,2326,2845,156
"France",NA,NA,NA,1861,2063,139,1837,2064,138,2048,2205,140
"Germany",NA,NA,NA,2344,2410,139,2421,2529,139,2552,2590,138
"Greece",NA,NA,NA,1713,1470,149,1764,1623,153,1627,1390,162
"Hungary",710,381,187,951,568,176,1030,615,166,1212,698,169
"Iceland",NA,NA,NA,1715,2571,147,1573,1680,148,1796,2119,145
"Ireland",2305,2718,120,2888,3491,139,2986,3302,140,2734,3343,122
"Italy",NA,NA,NA,1683,1722,127,1960,2005,133,2093,2154,137
"Latvia",NA,NA,NA,781,449,154,606,551,142,926,649,153
"Lithuania",554,273,150,764,413,144,889,526,134,985,618,143
"Luxembourg",NA,NA,NA,3105,3485,145,3040,3677,140,3857,4645,155
"Macedonia",NA,NA,NA,NA,NA,NA,1320,511,166,1154,537,180
"Malta",NA,NA,NA,769,1236,143,1937,1416,141,2201,1781,150
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1192,661,173
"Netherlands",1738,1773,110,1660,1769,114,1950,2173,114,2139,2349,116
"Norway",NA,NA,NA,2440,3235,138,2363,3490,130,2626,3845,130
"Poland",890,526,141,1049,610,126,1247,745,121,1510,843,136
"Portugal",NA,NA,NA,1759,1430,154,1620,1343,154,1535,1250,158
"Romania",455,187,186,720,359,177,766,379,167,905,481,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1075,542,173
"Slovakia",695,302,174,664,453,162,1059,709,154,1244,843,163
"Slovenia",1906,1309,162,1982,1479,176,1984,1669,162,1887,1541,173
"Spain",1759,1499,154,1900,1716,144,1897,1785,141,1894,1748,140
"Sweden",NA,NA,NA,1721,2074,141,1891,2339,145,2227,2796,149
"Switzerland",NA,NA,NA,NA,NA,NA,2465,3535,123,2891,4304,130
"Turkey",NA,NA,NA,1520,874,192,1589,982,189,1958,1171,191
"United Kingdom",2214,2543,130,2540,2866,134,2420,2557,136,2315,2812,136
