"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,2227,2341,131,2115,2334,123,2261,2393,127
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,2193,2377,102,2505,2781,120,2769,3009,120
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",369,150,181,560,213,174,777,345,162,866,415,175
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,1596,1124,156,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,1512,2288,148,3080,2735,139,2418,2178,141
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",1024,529,168,1278,777,163,1388,1005,166,1482,944,160
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,2601,3567,145,2825,3858,147,2837,3947,144
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,945,604,143,1127,775,135,1272,962,147
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,2368,2761,160,2586,3090,155,2740,3351,155
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,2295,2544,142,2097,2356,138,2291,2467,141
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,3158,3247,153,3092,3229,148,3278,3327,146
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,1769,1518,128,1845,1698,141,1704,1456,152
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",786,421,189,1071,639,175,1132,676,165,1382,795,168
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,1924,2885,152,1715,1832,153,2004,2366,150
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",2483,2927,114,3206,3875,135,3541,3915,132,3164,3868,120
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,1747,1788,102,2217,2268,110,2338,2407,111
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,902,518,149,661,601,138,992,696,150
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",641,316,130,816,441,131,978,578,128,1043,654,136
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,3908,4387,149,3743,4528,145,4641,5589,155
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,1395,540,165,1198,557,180
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,849,1365,133,1966,1438,121,2308,1867,147
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1312,728,171
