"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1823,1917,175,1830,2019,160,2044,2163,168
"Belgium",NA,NA,NA,1521,1649,151,1788,1985,151,1939,2107,147
"Bulgaria",244,99,184,347,132,176,478,212,158,613,294,175
"Croatia",NA,NA,NA,NA,NA,NA,1156,814,170,NA,NA,NA
"Cyprus",NA,NA,NA,930,1407,171,1822,1618,187,1623,1462,182
"Czech Rep.",727,376,176,931,566,179,892,646,175,1005,640,175
"Denmark",NA,NA,NA,2327,3192,152,2479,3385,145,2455,3416,143
"Estonia",NA,NA,NA,659,421,160,795,546,159,874,661,172
"Finland",NA,NA,NA,1641,1913,165,1726,2062,163,1808,2211,160
"France",NA,NA,NA,1387,1537,140,1342,1508,138,1541,1660,143
"Germany",NA,NA,NA,2066,2124,160,1746,1824,146,1921,1949,146
"Greece",NA,NA,NA,1612,1383,171,1612,1484,176,1596,1363,168
"Hungary",569,305,188,707,422,182,735,439,168,866,498,168
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",1675,1975,161,2081,2515,160,2353,2602,157,2149,2628,129
"Italy",NA,NA,NA,1742,1783,158,1490,1525,156,1337,1376,152
"Latvia",NA,NA,NA,537,309,172,418,380,154,784,550,165
"Lithuania",431,212,173,592,320,168,693,410,166,745,467,175
"Luxembourg",NA,NA,NA,2431,2729,165,2224,2690,154,2442,2941,177
"Macedonia",NA,NA,NA,NA,NA,NA,982,380,166,808,376,184
"Malta",NA,NA,NA,673,1081,177,2138,1564,189,1437,1163,145
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,986,547,190
"Netherlands",1980,2019,152,1685,1796,145,1738,1936,135,1736,1907,141
"Norway",NA,NA,NA,2379,3155,156,2217,3274,147,2347,3438,148
"Poland",744,440,187,873,507,175,899,537,162,1154,644,178
"Portugal",NA,NA,NA,983,799,170,963,798,172,962,784,168
"Romania",321,132,189,457,228,179,512,254,169,573,305,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,812,410,185
"Slovakia",543,236,176,550,375,167,883,591,166,972,659,172
"Slovenia",1085,745,176,1235,922,179,1399,1177,166,1292,1055,178
"Spain",1343,1145,174,1515,1368,164,1589,1495,166,1643,1516,167
"Sweden",NA,NA,NA,1716,2067,163,1922,2377,169,2206,2770,171
"Switzerland",NA,NA,NA,NA,NA,NA,2676,3837,161,2383,3547,146
"Turkey",NA,NA,NA,851,490,200,929,574,201,837,501,199
"United Kingdom",2138,2455,170,2328,2628,174,2069,2187,164,1905,2315,168
