"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1964,1960,154,1921,2020,150,1893,2090,145,1817,1923,141
"Belgium",2411,2414,173,2319,2514,161,2212,2456,147,2276,2474,158
"Bulgaria",220,89,181,298,114,174,446,198,162,492,236,177
"Croatia",NA,NA,NA,NA,NA,NA,1068,752,167,NA,NA,NA
"Cyprus",903,828,163,763,1155,168,1195,1061,176,NA,NA,NA
"Czech Rep.",613,317,168,798,485,171,852,617,171,958,611,171
"Denmark",1983,2554,148,2001,2745,138,2776,3791,149,2821,3925,150
"Estonia",457,239,181,663,424,172,672,462,161,1018,770,181
"Finland",1512,1793,163,1825,2129,159,1891,2259,159,2214,2708,161
"France",1428,1433,135,1509,1672,134,1918,2156,142,1910,2057,151
"Germany",1553,1607,138,1508,1550,125,1850,1933,132,1700,1725,131
"Greece",1204,1005,169,1568,1346,177,1467,1351,163,1348,1152,168
"Hungary",632,339,180,649,388,179,746,446,165,1225,705,181
"Iceland",1691,2215,161,2216,3323,167,1905,2035,163,1865,2202,155
"Ireland",2121,2501,151,2648,3200,167,2672,2955,163,2385,2916,167
"Italy",2030,1907,177,1869,1912,170,1971,2017,166,2365,2434,177
"Latvia",330,166,169,492,283,170,463,421,152,627,439,160
"Lithuania",498,245,179,468,253,171,550,325,163,640,401,182
"Luxembourg",1813,1856,174,1638,1839,156,2235,2704,171,2134,2570,169
"Macedonia",NA,NA,NA,NA,NA,NA,838,325,164,795,370,181
"Malta",1063,768,146,NA,NA,NA,1705,1246,179,1260,1019,148
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,813,451,179
"Netherlands",2440,2489,152,2056,2192,139,2098,2338,140,1884,2069,133
"Norway",2254,3293,153,2444,3240,147,2526,3730,150,2819,4129,145
"Poland",696,411,186,700,407,171,906,541,166,1078,602,181
"Portugal",793,607,168,1187,964,172,1165,966,171,1177,959,171
"Romania",369,152,189,449,224,178,506,251,171,541,288,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,888,448,184
"Slovakia",605,263,172,552,376,167,848,568,166,1101,747,175
"Slovenia",1017,699,167,1134,846,176,1260,1060,163,1606,1311,175
"Spain",1302,1109,171,1471,1328,163,1371,1290,157,1543,1424,156
"Sweden",1479,1851,155,1934,2330,158,2112,2612,162,2437,3060,171
"Switzerland",NA,NA,NA,NA,NA,NA,2723,3905,164,2996,4460,153
"Turkey",NA,NA,NA,881,507,201,1027,634,202,1057,632,200
"United Kingdom",1768,2030,146,2014,2273,147,1898,2005,152,1809,2198,157
