"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Total","From 30 to 39 years","Total",2284,2279,174,2379,2501,170,2433,2685,164,2768,2929,170
"Belgium","Industry and construction","Total","From 30 to 39 years","Total",2401,2404,175,2424,2628,166,2582,2866,161,2932,3187,169
"Bulgaria","Industry and construction","Total","From 30 to 39 years","Total",353,143,183,479,182,175,687,305,164,831,398,182
"Croatia","Industry and construction","Total","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,1226,864,170,NA,NA,NA
"Cyprus","Industry and construction","Total","From 30 to 39 years","Total",1404,1287,172,1053,1593,174,1833,1628,175,1570,1414,171
"Czech Rep.","Industry and construction","Total","From 30 to 39 years","Total",912,471,170,1192,725,172,1296,938,172,1506,959,171
"Denmark","Industry and construction","Total","From 30 to 39 years","Total",2495,3213,146,2623,3598,144,3082,4209,142,3242,4510,146
"Estonia","Industry and construction","Total","From 30 to 39 years","Total",831,435,184,1095,699,176,1323,909,169,1609,1217,184
"Finland","Industry and construction","Total","From 30 to 39 years","Total",2018,2393,167,2437,2842,166,2676,3197,165,2811,3438,166
"France","Industry and construction","Total","From 30 to 39 years","Total",2027,2034,147,2155,2388,156,2161,2428,154,2471,2662,158
"Germany","Industry and construction","Total","From 30 to 39 years","Total",2622,2713,163,2839,2919,161,2898,3028,159,3264,3312,162
"Greece","Industry and construction","Total","From 30 to 39 years","Total",1383,1154,175,1660,1425,177,1771,1630,171,1540,1316,169
"Hungary","Industry and construction","Total","From 30 to 39 years","Total",874,469,185,1054,629,183,1278,763,167,1457,838,173
"Iceland","Industry and construction","Total","From 30 to 39 years","Total",2064,2702,184,2212,3316,186,2120,2264,177,2501,2952,182
"Ireland","Industry and construction","Total","From 30 to 39 years","Total",2417,2850,160,2962,3581,174,2987,3302,166,2974,3636,168
"Italy","Industry and construction","Total","From 30 to 39 years","Total",1808,1698,177,1828,1870,172,2001,2048,168,2196,2260,183
"Latvia","Industry and construction","Total","From 30 to 39 years","Total",568,286,176,792,455,171,644,586,152,1098,770,162
"Lithuania","Industry and construction","Total","From 30 to 39 years","Total",640,315,176,907,490,172,952,563,162,1183,742,177
"Luxembourg","Industry and construction","Total","From 30 to 39 years","Total",2435,2492,179,2403,2698,173,2480,2999,170,2726,3283,185
"Macedonia","Industry and construction","Total","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,969,375,168,1001,466,182
"Malta","Industry and construction","Total","From 30 to 39 years","Total",1694,1224,196,797,1280,187,2202,1610,195,1997,1615,178
"Montenegro","Industry and construction","Total","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1350,749,181
"Netherlands","Industry and construction","Total","From 30 to 39 years","Total",2355,2402,157,2263,2412,155,2626,2925,160,2835,3113,162
"Norway","Industry and construction","Total","From 30 to 39 years","Total",2537,3705,163,3044,4036,164,3324,4909,164,3678,5387,164
"Poland","Industry and construction","Total","From 30 to 39 years","Total",990,585,188,1177,684,178,1370,819,171,1786,997,186
"Portugal","Industry and construction","Total","From 30 to 39 years","Total",976,747,169,1070,870,173,1227,1017,173,1235,1006,173
"Romania","Industry and construction","Total","From 30 to 39 years","Total",433,178,189,572,286,179,811,402,171,870,462,186
"Serbia","Industry and construction","Total","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1066,538,186
"Slovakia","Industry and construction","Total","From 30 to 39 years","Total",791,344,172,798,544,171,1176,787,164,1453,985,174
"Slovenia","Industry and construction","Total","From 30 to 39 years","Total",1241,852,170,1404,1048,178,1560,1312,167,1837,1500,179
"Spain","Industry and construction","Total","From 30 to 39 years","Total",1705,1453,181,1783,1610,171,1980,1863,170,2100,1938,169
"Sweden","Industry and construction","Total","From 30 to 39 years","Total",2011,2517,170,2375,2861,170,2604,3222,172,2982,3744,172
"Switzerland","Industry and construction","Total","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,3039,4358,171,3635,5412,170
"Turkey","Industry and construction","Total","From 30 to 39 years","Total",NA,NA,NA,1034,595,202,1159,716,204,1227,734,202
"United Kingdom","Industry and construction","Total","From 30 to 39 years","Total",2899,3329,174,3188,3598,175,2831,2991,174,2737,3325,174
