"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,4329,4552,172,4026,4443,169,4387,4643,172
"Belgium",NA,NA,NA,4140,4487,164,4430,4918,159,4444,4830,167
"Bulgaria",717,290,183,1369,522,175,2077,922,166,2390,1144,179
"Croatia",NA,NA,NA,NA,NA,NA,3182,2241,169,NA,NA,NA
"Cyprus",NA,NA,NA,2263,3426,168,4549,4040,172,3752,3380,172
"Czech Rep.",2189,1132,169,2610,1587,169,2882,2086,170,3224,2054,170
"Denmark",NA,NA,NA,3899,5347,159,4386,5990,160,4547,6327,160
"Estonia",NA,NA,NA,2060,1316,174,2696,1853,166,2679,2026,181
"Finland",NA,NA,NA,3712,4330,162,4324,5165,162,4518,5525,162
"France",NA,NA,NA,3596,3985,170,3594,4039,166,3971,4277,172
"Germany",NA,NA,NA,4643,4774,165,4647,4854,163,5746,5831,169
"Greece",NA,NA,NA,3320,2850,174,2621,2412,169,2592,2214,169
"Hungary",1906,1022,184,2215,1322,180,2806,1676,166,2941,1692,170
"Iceland",NA,NA,NA,3986,5976,167,3546,3787,169,4288,5060,171
"Ireland",4153,4897,156,3636,4395,166,3712,4104,165,3072,3756,135
"Italy",NA,NA,NA,4246,4344,171,3392,3471,162,4640,4776,176
"Latvia",NA,NA,NA,1532,880,170,1338,1216,152,2223,1559,165
"Lithuania",1263,622,178,1638,885,169,1807,1068,159,2075,1302,169
"Luxembourg",NA,NA,NA,5359,6016,171,5370,6496,NA,5243,6314,179
"Macedonia",NA,NA,NA,NA,NA,NA,2294,889,167,2171,1010,183
"Malta",NA,NA,NA,1256,2019,167,3230,2362,166,3713,3003,169
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,3362,1865,179
"Netherlands",3021,3081,156,2991,3188,155,3304,3681,153,3853,4232,164
"Norway",NA,NA,NA,4107,5445,160,4164,6149,159,4491,6578,159
"Poland",2482,1468,185,2676,1555,174,2848,1702,164,3342,1866,180
"Portugal",NA,NA,NA,3378,2745,163,3267,2708,167,2725,2219,167
"Romania",1129,464,185,1831,914,176,2423,1200,167,2362,1255,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2045,1032,184
"Slovakia",1743,758,174,2047,1395,170,2808,1879,161,2961,2008,174
"Slovenia",3214,2207,166,3520,2627,174,3490,2936,166,3677,3002,176
"Spain",3756,3201,178,3767,3402,169,3734,3514,168,3594,3317,169
"Sweden",3266,4087,170,3378,4071,169,3563,4408,171,4167,5232,172
"Switzerland",NA,NA,NA,NA,NA,NA,5534,7937,172,5243,7805,170
"Turkey",NA,NA,NA,2609,1500,196,2832,1750,195,3363,2011,195
"United Kingdom",4387,5038,163,4571,5158,163,4240,4480,164,4058,4931,164
