"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,2249,2365,152,2277,2513,147,2496,2641,148
"Belgium",NA,NA,NA,2382,2582,147,2596,2882,146,2878,3128,151
"Bulgaria",389,158,181,634,241,173,976,433,163,1174,562,179
"Croatia",NA,NA,NA,NA,NA,NA,1623,1143,167,NA,NA,NA
"Cyprus",NA,NA,NA,1222,1850,165,2388,2122,163,2046,1843,164
"Czech Rep.",1149,594,168,1480,900,167,1596,1155,168,1768,1126,167
"Denmark",NA,NA,NA,2504,3435,145,2975,4063,147,2975,4139,144
"Estonia",NA,NA,NA,1232,787,166,1474,1013,159,1676,1267,172
"Finland",NA,NA,NA,2259,2635,159,2507,2995,157,2590,3167,157
"France",NA,NA,NA,2206,2445,150,2217,2491,149,2479,2670,150
"Germany",NA,NA,NA,2787,2866,148,2785,2909,147,2963,3007,148
"Greece",NA,NA,NA,1724,1480,163,1736,1598,161,1579,1349,161
"Hungary",1007,540,184,1245,743,178,1516,906,165,1816,1045,169
"Iceland",NA,NA,NA,2231,3345,157,2013,2150,155,2253,2659,152
"Ireland",2554,3011,139,2955,3572,157,3045,3367,154,2802,3426,137
"Italy",NA,NA,NA,1920,1965,153,2042,2089,155,2132,2194,165
"Latvia",NA,NA,NA,941,541,164,817,742,149,1330,933,161
"Lithuania",702,345,162,959,518,159,1074,635,151,1308,820,164
"Luxembourg",NA,NA,NA,3174,3563,162,3224,3900,158,3527,4248,170
"Macedonia",NA,NA,NA,NA,NA,NA,1437,557,167,1253,583,181
"Malta",NA,NA,NA,860,1382,158,2190,1601,157,2293,1855,159
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1385,768,177
"Netherlands",2233,2278,135,2148,2290,133,2368,2639,134,2531,2780,138
"Norway",NA,NA,NA,2891,3833,149,2922,4315,143,3217,4712,143
"Poland",1131,669,167,1346,782,156,1610,962,151,1982,1107,168
"Portugal",NA,NA,NA,1695,1377,163,1656,1373,163,1569,1278,164
"Romania",557,229,185,826,413,176,1094,542,167,1233,655,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1235,623,180
"Slovakia",900,391,170,946,645,167,1417,948,159,1654,1122,170
"Slovenia",1769,1215,166,1948,1454,176,1989,1673,164,2056,1679,174
"Spain",1954,1665,171,1926,1739,159,1981,1864,159,1995,1841,156
"Sweden",2255,2822,163,2176,2622,154,2364,2924,156,2686,3373,158
"Switzerland",NA,NA,NA,NA,NA,NA,3021,4332,148,3615,5381,151
"Turkey",NA,NA,NA,1534,882,197,1611,995,196,1719,1028,196
"United Kingdom",2835,3256,143,3119,3520,146,2847,3008,147,2699,3279,148
