"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",258,105,185,306,117,171,406,180,156,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,1012,713,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",577,298,166,725,441,171,942,682,179,928,591,173
"Denmark",NA,NA,NA,2048,2809,143,2326,3177,135,2191,3049,133
"Estonia",NA,NA,NA,869,555,176,832,572,161,1042,788,173
"Finland",NA,NA,NA,1474,1719,162,1603,1915,160,1742,2131,164
"France",NA,NA,NA,1704,1888,145,1316,1479,135,1903,2050,149
"Germany",NA,NA,NA,1689,1737,148,1796,1876,154,2128,2160,162
"Greece",NA,NA,NA,1066,915,160,NA,NA,NA,1151,983,165
"Hungary",545,292,184,537,321,181,684,409,162,1031,593,168
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",1656,1952,148,2023,2445,161,2804,3100,167,1782,2179,122
"Italy",NA,NA,NA,NA,NA,NA,1414,1447,160,1644,1692,171
"Latvia",NA,NA,NA,460,264,168,498,452,146,708,497,132
"Lithuania",339,167,163,484,262,175,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,2053,2484,151,2026,2440,183
"Macedonia",NA,NA,NA,NA,NA,NA,1009,391,172,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1616,1648,150,1365,1454,140,1577,1756,140,1625,1784,140
"Norway",NA,NA,NA,2232,2959,147,2432,3592,156,2599,3806,157
"Poland",604,357,189,824,479,172,788,471,168,1081,604,181
"Portugal",NA,NA,NA,734,596,170,910,754,173,927,755,170
"Romania",247,102,189,347,173,175,412,204,144,474,252,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",442,192,175,496,338,168,728,487,161,856,581,169
"Slovenia",978,672,165,1110,829,183,1174,988,161,1330,1086,179
"Spain",1204,1026,179,1502,1356,159,1398,1315,166,1388,1281,156
"Sweden",NA,NA,172,1701,2049,163,1896,2345,168,2321,2914,173
"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,2915,4340,167
"Turkey",NA,NA,NA,840,483,207,1055,652,198,831,497,205
"United Kingdom",1847,2121,170,1906,2151,168,1830,1933,175,1744,2119,173
