"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,2741,2882,162,2604,2873,156,2770,2931,158
"Belgium",NA,NA,NA,2337,2533,152,2563,2846,151,2598,2824,153
"Bulgaria",425,172,182,705,269,174,1102,489,165,1234,591,181
"Croatia",NA,NA,NA,NA,NA,NA,1650,1162,168,NA,NA,NA
"Cyprus",NA,NA,NA,1181,1787,167,2600,2310,168,2290,2062,169
"Czech Rep.",1049,543,168,1417,862,168,1582,1145,169,1749,1114,169
"Denmark",NA,NA,NA,2597,3562,149,3225,4405,154,3311,4607,154
"Estonia",NA,NA,NA,1217,778,168,1413,971,163,1757,1328,177
"Finland",NA,NA,NA,2237,2609,161,2497,2984,160,2645,3235,161
"France",NA,NA,NA,2053,2276,147,2075,2332,148,2329,2508,148
"Germany",NA,NA,NA,2736,2813,149,3048,3184,152,2954,2997,151
"Greece",NA,NA,NA,1816,1559,172,1853,1705,173,1796,1534,173
"Hungary",927,497,184,1166,696,179,1398,835,166,1539,885,170
"Iceland",NA,NA,NA,2269,3402,152,2283,2438,156,2665,3145,159
"Ireland",2515,2966,142,2986,3609,163,3132,3463,160,2873,3513,143
"Italy",NA,NA,NA,2064,2112,156,2257,2309,161,2367,2436,174
"Latvia",NA,NA,NA,901,518,163,854,776,154,1343,942,165
"Lithuania",560,276,163,791,427,161,936,554,154,1138,714,170
"Luxembourg",NA,NA,NA,3355,3767,162,3245,3926,158,3264,3931,170
"Macedonia",NA,NA,NA,NA,NA,NA,1369,530,168,1187,552,182
"Malta",NA,NA,NA,803,1291,159,2178,1593,172,2304,1863,173
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1505,835,176
"Netherlands",2165,2209,133,2112,2250,133,2396,2670,138,2474,2717,139
"Norway",NA,NA,NA,3038,4028,152,3349,4946,154,3667,5371,154
"Poland",976,577,182,1297,753,170,1490,891,164,1840,1027,180
"Portugal",NA,NA,NA,1796,1459,167,1733,1436,168,1749,1424,170
"Romania",548,226,186,730,365,176,985,488,166,1066,566,180
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1244,627,184
"Slovakia",951,413,173,900,614,168,1452,972,161,1669,1132,174
"Slovenia",1715,1178,167,1823,1360,177,1929,1623,166,2118,1729,178
"Spain",2118,1805,177,2045,1847,164,2114,1989,166,2175,2008,164
"Sweden",2244,2808,167,2301,2772,160,2669,3302,166,2941,3692,167
"Switzerland",NA,NA,NA,NA,NA,NA,3389,4860,158,3656,5442,157
"Turkey",NA,NA,NA,1451,835,198,1634,1010,199,1636,978,200
"United Kingdom",2841,3262,147,2981,3364,151,2668,2819,153,2493,3029,157
