"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Managers","From 30 to 39 years","Total",4299,4289,177,4430,4658,171,3962,4373,169,4437,4695,173
"Belgium","Services of the business economy","Managers","From 30 to 39 years","Total",4331,4336,175,4197,4549,164,4495,4990,157,4394,4776,166
"Bulgaria","Services of the business economy","Managers","From 30 to 39 years","Total",928,376,183,1836,700,173,2422,1075,165,2734,1309,180
"Croatia","Services of the business economy","Managers","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,3715,2617,169,NA,NA,NA
"Cyprus","Services of the business economy","Managers","From 30 to 39 years","Total",3001,2750,170,2457,3719,168,4620,4104,173,3808,3430,172
"Czech Rep.","Services of the business economy","Managers","From 30 to 39 years","Total",2379,1230,169,2726,1657,170,3100,2244,171,3468,2209,171
"Denmark","Services of the business economy","Managers","From 30 to 39 years","Total",3917,5044,161,3977,5455,159,4418,6034,160,4561,6346,160
"Estonia","Services of the business economy","Managers","From 30 to 39 years","Total",1867,978,181,2342,1496,174,2904,1996,166,2892,2187,181
"Finland","Services of the business economy","Managers","From 30 to 39 years","Total",3272,3880,163,3712,4329,162,4475,5346,162,4940,6041,162
"France","Services of the business economy","Managers","From 30 to 39 years","Total",3604,3616,149,3573,3960,170,3700,4158,167,4055,4367,172
"Germany","Services of the business economy","Managers","From 30 to 39 years","Total",4220,4367,168,4806,4941,167,5550,5798,167,6096,6186,170
"Greece","Services of the business economy","Managers","From 30 to 39 years","Total",2526,2108,169,3080,2644,174,2549,2346,169,2630,2247,169
"Hungary","Services of the business economy","Managers","From 30 to 39 years","Total",1933,1036,184,2293,1368,179,2892,1727,166,3050,1755,170
"Iceland","Services of the business economy","Managers","From 30 to 39 years","Total",3085,4039,166,4316,6471,165,3916,4182,165,4840,5713,170
"Ireland","Services of the business economy","Managers","From 30 to 39 years","Total",4029,4750,156,3582,4330,167,3710,4102,164,3031,3706,133
"Italy","Services of the business economy","Managers","From 30 to 39 years","Total",5729,5381,174,4417,4519,172,3011,3081,160,4298,4424,175
"Latvia","Services of the business economy","Managers","From 30 to 39 years","Total",1225,618,178,1687,970,169,1559,1416,153,2580,1810,165
"Lithuania","Services of the business economy","Managers","From 30 to 39 years","Total",1490,734,175,1713,926,168,1910,1130,161,2183,1369,168
"Luxembourg","Services of the business economy","Managers","From 30 to 39 years","Total",5149,5269,172,5529,6206,171,5536,6697,167,5268,6345,179
"Macedonia","Services of the business economy","Managers","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,2672,1035,168,2430,1130,183
"Malta","Services of the business economy","Managers","From 30 to 39 years","Total",2430,1754,175,1281,2059,168,3226,2359,169,3753,3035,170
"Montenegro","Services of the business economy","Managers","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,3543,1965,178
"Netherlands","Services of the business economy","Managers","From 30 to 39 years","Total",3121,3183,159,3025,3224,156,3369,3753,157,3845,4223,166
"Norway","Services of the business economy","Managers","From 30 to 39 years","Total",3756,5486,161,4166,5524,160,4190,6188,160,4419,6472,159
"Poland","Services of the business economy","Managers","From 30 to 39 years","Total",2653,1569,186,2702,1570,173,3002,1794,164,3480,1943,180
"Portugal","Services of the business economy","Managers","From 30 to 39 years","Total",4320,3308,166,3611,2934,163,3487,2891,166,2821,2298,168
"Romania","Services of the business economy","Managers","From 30 to 39 years","Total",1259,518,184,1969,983,176,2660,1318,167,2533,1346,182
"Serbia","Services of the business economy","Managers","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,2187,1103,183
"Slovakia","Services of the business economy","Managers","From 30 to 39 years","Total",1783,775,175,2223,1515,171,2874,1923,161,3062,2076,174
"Slovenia","Services of the business economy","Managers","From 30 to 39 years","Total",3211,2206,165,3756,2803,173,3674,3091,166,3750,3062,176
"Spain","Services of the business economy","Managers","From 30 to 39 years","Total",3839,3272,178,3774,3408,169,3795,3570,168,3651,3370,169
"Sweden","Services of the business economy","Managers","From 30 to 39 years","Total",3306,4138,169,3588,4324,170,3709,4587,170,4362,5477,171
"Switzerland","Services of the business economy","Managers","From 30 to 39 years","Total",NA,NA,NA,NA,NA,NA,5837,8372,174,5493,8178,172
"Turkey","Services of the business economy","Managers","From 30 to 39 years","Total",NA,NA,NA,2838,1632,194,3151,1947,194,3349,2003,195
"United Kingdom","Services of the business economy","Managers","From 30 to 39 years","Total",4574,5252,163,4728,5336,164,4469,4723,165,4306,5231,165
