"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Craft and related trades workers","From 40 to 49 years","Total",2295,2290,180,2299,2417,176,2277,2513,168,2696,2852,176
"Belgium","Business economy","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,2137,2317,165,2371,2633,162,2592,2818,169
"Bulgaria","Business economy","Craft and related trades workers","From 40 to 49 years","Total",367,149,183,508,194,175,701,311,165,800,383,182
"Croatia","Business economy","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,1034,729,171,NA,NA,NA
"Cyprus","Business economy","Craft and related trades workers","From 40 to 49 years","Total",1753,1607,174,1264,1913,170,2210,1963,175,1792,1614,171
"Czech Rep.","Business economy","Craft and related trades workers","From 40 to 49 years","Total",794,410,173,1041,633,174,1115,807,174,1306,832,174
"Denmark","Business economy","Craft and related trades workers","From 40 to 49 years","Total",2332,3003,141,2501,3430,140,2867,3915,138,2973,4137,140
"Estonia","Business economy","Craft and related trades workers","From 40 to 49 years","Total",697,365,184,957,612,176,1088,748,170,1406,1063,184
"Finland","Business economy","Craft and related trades workers","From 40 to 49 years","Total",1877,2227,169,2189,2553,168,2401,2869,167,2580,3155,167
"France","Business economy","Craft and related trades workers","From 40 to 49 years","Total",1829,1836,150,1865,2067,152,1805,2029,152,2105,2267,152
"Germany","Business economy","Craft and related trades workers","From 40 to 49 years","Total",2448,2533,167,2667,2742,167,2664,2783,163,2972,3016,167
"Greece","Business economy","Craft and related trades workers","From 40 to 49 years","Total",1630,1361,178,2341,2010,185,2161,1989,171,1946,1662,173
"Hungary","Business economy","Craft and related trades workers","From 40 to 49 years","Total",719,386,185,835,498,183,985,588,166,1033,594,170
"Iceland","Business economy","Craft and related trades workers","From 40 to 49 years","Total",2309,3023,193,2460,3688,196,2349,2509,197,2602,3071,189
"Ireland","Business economy","Craft and related trades workers","From 40 to 49 years","Total",2444,2881,168,3072,3713,177,3274,3620,170,2936,3590,161
"Italy","Business economy","Craft and related trades workers","From 40 to 49 years","Total",1741,1636,179,1788,1830,173,1754,1795,161,1879,1934,168
"Latvia","Business economy","Craft and related trades workers","From 40 to 49 years","Total",498,251,176,661,380,172,531,483,153,938,658,164
"Lithuania","Business economy","Craft and related trades workers","From 40 to 49 years","Total",590,291,176,795,430,172,NA,NA,NA,915,574,178
"Luxembourg","Business economy","Craft and related trades workers","From 40 to 49 years","Total",2461,2518,181,2343,2630,175,2363,2858,170,2672,3218,187
"Macedonia","Business economy","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,776,301,167,786,366,181
"Malta","Business economy","Craft and related trades workers","From 40 to 49 years","Total",1556,1124,186,773,1242,186,2257,1650,195,1894,1532,182
"Montenegro","Business economy","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1135,629,183
"Netherlands","Business economy","Craft and related trades workers","From 40 to 49 years","Total",2280,2325,162,2179,2323,159,2513,2800,163,2479,2723,162
"Norway","Business economy","Craft and related trades workers","From 40 to 49 years","Total",2431,3551,166,2877,3814,167,3004,4437,164,3208,4699,163
"Poland","Business economy","Craft and related trades workers","From 40 to 49 years","Total",881,521,189,1045,607,180,1125,673,172,1464,818,187
"Portugal","Business economy","Craft and related trades workers","From 40 to 49 years","Total",915,700,170,924,751,174,1039,861,174,1103,898,174
"Romania","Business economy","Craft and related trades workers","From 40 to 49 years","Total",440,181,188,580,290,180,790,392,172,820,436,186
"Serbia","Business economy","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,939,474,187
"Slovakia","Business economy","Craft and related trades workers","From 40 to 49 years","Total",717,312,173,682,465,174,1022,684,165,1229,833,175
"Slovenia","Business economy","Craft and related trades workers","From 40 to 49 years","Total",1196,822,175,1290,963,181,1358,1143,167,1571,1283,180
"Spain","Business economy","Craft and related trades workers","From 40 to 49 years","Total",1675,1427,183,1760,1590,172,1884,1773,173,1992,1839,171
"Sweden","Business economy","Craft and related trades workers","From 40 to 49 years","Total",1859,2326,174,2208,2661,175,2442,3021,175,2822,3544,175
"Switzerland","Business economy","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,3015,4324,176,3398,5058,171
"Turkey","Business economy","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,1083,623,201,1244,769,202,1121,670,204
"United Kingdom","Business economy","Craft and related trades workers","From 40 to 49 years","Total",2735,3140,185,3013,3401,186,2686,2838,184,2580,3135,183
