"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",5454,5442,177,5977,6285,172,5425,5987,169,5985,6333,172
"Belgium",5341,5348,175,5278,5722,165,5418,6015,158,6085,6614,167
"Bulgaria",825,335,183,1258,480,174,1963,871,165,2530,1211,180
"Croatia",NA,NA,NA,NA,NA,NA,3417,2406,168,NA,NA,NA
"Cyprus",3639,3334,168,2883,4364,170,5803,5154,167,4913,4426,169
"Czech Rep.",1909,987,169,2630,1599,169,3240,2345,170,3888,2477,170
"Denmark",4352,5605,160,4932,6765,161,5617,7671,160,5955,8286,160
"Estonia",1516,794,181,1967,1257,175,2603,1789,167,2950,2230,180
"Finland",3720,4411,164,4639,5410,162,5471,6536,163,5938,7262,163
"France",4331,4346,149,4429,4909,170,4583,5151,166,5120,5514,172
"Germany",4692,4855,169,6169,6342,168,6942,7251,168,7663,7777,169
"Greece",3169,2645,175,4313,3702,173,3803,3500,168,3965,3387,169
"Hungary",1947,1044,184,2251,1344,180,3106,1855,166,3453,1987,170
"Iceland",3611,4728,166,4525,6785,170,4201,4487,169,5416,6392,171
"Ireland",4424,5216,156,4796,5798,169,5301,5861,164,4156,5082,147
"Italy",6152,5779,171,5954,6092,171,6241,6386,164,6799,6998,178
"Latvia",1067,538,179,1362,783,169,1109,1008,150,1969,1381,164
"Lithuania",1223,602,177,1553,839,171,1609,951,158,2033,1275,166
"Luxembourg",6031,6172,172,6794,7627,171,7175,8680,168,7276,8762,179
"Macedonia",NA,NA,NA,NA,NA,NA,2535,982,168,2324,1081,183
"Malta",2961,2138,173,1453,2334,172,3638,2660,173,4334,3505,171
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,3221,1787,176
"Netherlands",3683,3756,162,3941,4200,159,4785,5330,161,5386,5915,167
"Norway",4256,6216,162,4983,6607,161,5257,7764,161,5769,8449,160
"Poland",2407,1423,186,2935,1706,173,3466,2071,165,4510,2518,179
"Portugal",4776,3657,168,4111,3340,162,4668,3870,165,4265,3474,165
"Romania",1228,505,186,1845,921,176,2471,1225,168,2498,1327,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2274,1147,185
"Slovakia",1732,753,173,1989,1356,170,2738,1832,162,3275,2220,173
"Slovenia",3268,2245,170,4129,3082,176,4203,3536,166,4484,3662,178
"Spain",4839,4124,178,4774,4311,169,4638,4363,169,4468,4124,168
"Sweden",3937,4927,171,4468,5384,171,4673,5780,171,5246,6587,172
"Switzerland",NA,NA,NA,NA,NA,NA,7082,10157,174,6766,10072,173
"Turkey",NA,NA,NA,3287,1891,194,3666,2265,193,4491,2686,195
"United Kingdom",5091,5847,164,5478,6183,165,5139,5431,165,4933,5993,166
