"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2262,2257,190,2215,2329,185,2208,2437,177,2471,2615,185
"Belgium",NA,NA,NA,2218,2404,165,2386,2648,158,2603,2829,164
"Bulgaria",379,154,183,500,191,177,678,301,167,730,350,182
"Croatia",NA,NA,NA,NA,NA,NA,1181,832,172,NA,NA,NA
"Cyprus",1406,1289,179,1177,1781,182,1904,1691,184,1637,1474,174
"Czech Rep.",802,414,172,998,607,174,1048,759,173,1182,753,173
"Denmark",2297,2958,148,2356,3232,142,2752,3758,138,2759,3839,142
"Estonia",672,352,187,885,565,179,1042,716,172,1274,963,185
"Finland",1843,2186,169,2163,2523,169,2453,2931,168,2624,3209,167
"France",1718,1724,148,1830,2028,156,1805,2029,156,2037,2193,156
"Germany",2302,2381,170,2439,2507,167,2424,2532,166,2537,2575,164
"Greece",1684,1406,187,1991,1709,181,2139,1969,178,1825,1559,172
"Hungary",766,411,187,881,526,185,1062,635,169,1090,627,176
"Iceland",2057,2693,215,2223,3333,207,1851,1977,187,2506,2957,203
"Ireland",2051,2418,166,2444,2954,173,2852,3154,168,2778,3396,163
"Italy",1699,1596,178,2037,2084,177,1951,1997,170,2052,2113,182
"Latvia",532,268,181,667,383,174,581,528,158,911,639,164
"Lithuania",577,284,177,722,390,172,NA,NA,NA,966,606,183
"Luxembourg",2410,2466,186,2454,2755,180,2429,2938,176,2590,3119,184
"Macedonia",NA,NA,NA,NA,NA,NA,851,330,167,739,344,181
"Malta",1687,1218,195,757,1217,189,2036,1489,196,1829,1479,178
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1101,611,182
"Netherlands",2269,2314,172,2110,2249,163,2334,2600,171,2144,2354,155
"Norway",2272,3319,162,2742,3635,163,2823,4169,162,3161,4630,160
"Poland",922,545,187,1049,610,180,1259,753,174,1535,857,188
"Portugal",983,753,173,1053,856,174,1024,849,175,1057,861,175
"Romania",446,183,189,583,291,180,823,408,173,845,449,187
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1048,529,186
"Slovakia",715,311,171,685,467,171,959,642,166,1111,754,173
"Slovenia",1086,746,172,1210,903,179,1292,1087,166,1543,1260,179
"Spain",1697,1447,183,1760,1590,171,1827,1719,171,1975,1823,170
"Sweden",1726,2160,169,2100,2530,170,2284,2825,170,2637,3311,171
"Switzerland",NA,NA,NA,NA,NA,NA,2949,4229,173,3304,4919,173
"Turkey",NA,NA,NA,1016,584,204,985,609,204,989,591,202
"United Kingdom",2245,2578,187,2522,2846,190,2283,2413,189,2272,2760,191
