"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Total","From 40 to 49 years","Total",2292,2287,166,2396,2519,162,2444,2698,157,2786,2948,160
"Belgium","Business economy","Total","From 40 to 49 years","Total",2493,2496,167,2537,2751,159,2761,3065,152,3093,3362,159
"Bulgaria","Business economy","Total","From 40 to 49 years","Total",393,159,182,537,205,174,783,348,163,918,439,180
"Croatia","Business economy","Total","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,1368,964,170,NA,NA,NA
"Cyprus","Business economy","Total","From 40 to 49 years","Total",1778,1629,172,1293,1956,171,2408,2139,171,2245,2022,168
"Czech Rep.","Business economy","Total","From 40 to 49 years","Total",945,488,170,1272,773,171,1355,981,171,1565,997,170
"Denmark","Business economy","Total","From 40 to 49 years","Total",2660,3425,147,2831,3883,144,3393,4634,145,3517,4893,144
"Estonia","Business economy","Total","From 40 to 49 years","Total",772,404,181,1025,655,173,1268,871,167,1570,1188,179
"Finland","Business economy","Total","From 40 to 49 years","Total",2023,2400,164,2403,2803,163,2758,3295,162,2964,3625,162
"France","Business economy","Total","From 40 to 49 years","Total",2198,2206,144,2290,2537,152,2426,2726,151,2796,3011,154
"Germany","Business economy","Total","From 40 to 49 years","Total",2568,2657,155,2784,2863,153,2890,3019,150,3085,3131,146
"Greece","Business economy","Total","From 40 to 49 years","Total",1785,1490,177,2054,1763,174,2101,1934,167,1907,1629,163
"Hungary","Business economy","Total","From 40 to 49 years","Total",893,478,184,1059,632,181,1313,785,165,1437,827,170
"Iceland","Business economy","Total","From 40 to 49 years","Total",2129,2788,180,2564,3845,181,2442,2608,175,3015,3558,174
"Ireland","Business economy","Total","From 40 to 49 years","Total",2490,2935,152,2979,3601,162,3495,3864,158,3159,3863,148
"Italy","Business economy","Total","From 40 to 49 years","Total",2070,1944,171,2120,2169,167,2209,2261,161,2362,2431,171
"Latvia","Business economy","Total","From 40 to 49 years","Total",591,298,176,767,441,170,647,588,152,1068,749,161
"Lithuania","Business economy","Total","From 40 to 49 years","Total",670,330,174,856,462,169,888,525,159,1066,669,173
"Luxembourg","Business economy","Total","From 40 to 49 years","Total",2936,3004,171,3062,3438,166,3271,3956,163,3566,4295,174
"Macedonia","Business economy","Total","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,1168,452,168,1055,491,181
"Malta","Business economy","Total","From 40 to 49 years","Total",1739,1256,178,845,1359,173,2145,1568,174,2224,1799,165
"Montenegro","Business economy","Total","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1334,740,179
"Netherlands","Business economy","Total","From 40 to 49 years","Total",2453,2502,148,2382,2539,143,2688,2995,145,2958,3249,147
"Norway","Business economy","Total","From 40 to 49 years","Total",2696,3938,156,3205,4249,156,3459,5109,155,3851,5640,155
"Poland","Business economy","Total","From 40 to 49 years","Total",1031,610,186,1191,692,176,1428,853,168,1928,1076,183
"Portugal","Business economy","Total","From 40 to 49 years","Total",1247,955,167,1442,1172,170,1566,1298,167,1596,1300,168
"Romania","Business economy","Total","From 40 to 49 years","Total",501,206,188,664,331,178,927,459,170,970,516,184
"Serbia","Business economy","Total","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1187,599,185
"Slovakia","Business economy","Total","From 40 to 49 years","Total",807,351,170,827,564,170,1188,795,163,1436,974,173
"Slovenia","Business economy","Total","From 40 to 49 years","Total",1404,964,172,1578,1178,178,1739,1463,166,2005,1637,178
"Spain","Business economy","Total","From 40 to 49 years","Total",1993,1699,175,1934,1747,164,2012,1893,162,2154,1988,161
"Sweden","Business economy","Total","From 40 to 49 years","Total",2172,2718,166,2585,3115,166,2836,3507,167,3303,4147,168
"Switzerland","Business economy","Total","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,3317,4757,157,3931,5851,155
"Turkey","Business economy","Total","From 40 to 49 years","Total",NA,NA,NA,1329,764,200,1413,873,200,1384,828,200
"United Kingdom","Business economy","Total","From 40 to 49 years","Total",2970,3410,162,3420,3860,165,3061,3234,160,2981,3622,160
