"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,1986,2088,169,2079,2294,168,2338,2474,164
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,1651,1790,154,2017,2239,152,2350,2554,151
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",275,111,183,395,150,173,505,224,163,558,267,176
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,1040,732,162,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,1127,1705,170,2031,1804,168,2038,1836,165
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",751,388,171,897,545,173,936,678,171,1049,668,177
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,2474,3393,154,2821,3853,153,2888,4019,151
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,535,342,160,697,479,163,857,648,164
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,1786,2082,165,1970,2354,163,2043,2498,163
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,1447,1604,147,1569,1763,144,1605,1729,142
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,2463,2532,161,2373,2479,156,2647,2686,160
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,1765,1515,171,1953,1798,178,1610,1376,178
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",600,322,188,688,410,178,733,438,166,833,479,170
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,3056,3694,176,3135,3466,161,2912,3561,133
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,1823,1866,163,1582,1619,144,1239,1275,139
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,475,273,160,353,320,139,621,435,158
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",364,179,163,473,256,152,NA,NA,NA,594,372,167
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,2800,3143,168,3189,3858,163,2788,3357,168
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,1548,599,169,814,378,182
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,679,1091,173,1914,1399,195,1678,1357,156
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
