"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,2010,2113,190,1604,1770,158,1646,1742,159
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,1333,1445,135,1832,2033,151,2176,2365,157
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 40 to 49 years","Total",277,112,184,405,155,177,491,218,161,599,287,178
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,1291,910,164,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,1071,1621,181,2262,2009,196,NA,NA,NA
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 40 to 49 years","Total",726,375,178,902,548,174,879,636,178,969,617,174
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,2595,3560,162,2678,3658,150,2795,3888,150
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,688,440,170,625,429,158,884,669,177
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,1666,1943,167,1643,1963,163,1696,2074,163
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,1952,2163,151,1334,1499,145,1448,1559,139
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,1996,2052,161,1374,1435,133,1452,1474,133
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,1671,1538,173,1744,1490,168
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 40 to 49 years","Total",658,353,189,769,459,182,813,485,170,899,517,172
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 40 to 49 years","Total",1655,1951,153,1890,2285,165,1963,2171,150,1721,2104,127
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,1868,1911,168,1680,1719,163,1540,1586,167
