"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1335,1404,131,1416,1563,133,1604,1697,133
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1661,1800,127,1922,2134,128,1900,2065,121
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",207,84,181,309,118,172,431,191,164,498,238,177
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,1288,907,168,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,783,1186,165,1546,1373,162,1395,1256,162
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",638,330,167,698,424,164,866,627,170,899,573,169
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1799,2467,136,2142,2925,137,2074,2886,131
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,474,303,172,599,412,161,714,540,176
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1615,1884,161,1806,2157,160,1907,2333,160
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1494,1656,139,1459,1639,138,1619,1744,139
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1588,1633,127,1798,1878,128,1449,1470,116
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1756,1508,182,1822,1677,184,1572,1343,184
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",502,269,185,690,412,177,730,436,167,809,465,173
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1295,1942,149,1191,1272,141,1259,1486,130
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",1325,1562,117,1710,2066,125,2054,2271,134,2051,2508,125
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1322,1353,135,1483,1517,148,1550,1596,154
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,413,237,169,356,324,152,579,406,166
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",329,162,179,450,243,169,493,292,163,546,343,174
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,2210,2480,134,2143,2593,130,2508,3021,139
