"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,2145,2255,140,2035,2246,140,2223,2352,137
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,2231,2418,133,2608,2895,133,2671,2903,131
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",327,132,181,517,197,172,709,314,157,834,399,168
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,1557,1097,166,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,1286,1947,167,2817,2502,174,2813,2534,167
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",951,492,169,1095,666,167,1315,952,170,1363,868,167
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,2339,3208,144,2863,3910,150,2901,4037,149
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,716,457,155,1005,690,156,1132,856,166
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,1937,2259,160,2222,2654,160,2338,2860,160
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,2060,2283,136,1939,2180,136,2092,2253,140
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,2160,2221,134,2143,2238,129,2360,2395,132
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,1901,1632,170,1977,1819,182,1918,1639,191
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",647,347,186,888,530,177,943,563,166,1009,581,171
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,1557,2334,139,1465,1565,142,1748,2063,140
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",2120,2500,117,2840,3433,141,3218,3558,147,2865,3503,131
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,1940,1985,145,2202,2254,148,2123,2186,155
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,661,380,156,555,505,152,878,616,162
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",485,239,164,658,356,162,720,426,150,742,465,155
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,3663,4112,133,3839,4644,135,3866,4656,146
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,1240,480,169,1072,499,183
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,738,1186,142,1906,1393,166,2141,1731,156
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1183,656,180
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",1667,1700,107,1464,1560,106,1841,2051,110,1837,2017,107
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 40 to 49 years","Total",NA,NA,NA,2380,3155,133,2510,3708,137,2733,4003,135
