"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1985,2087,140,1939,2139,134,2169,2295,133
"Belgium",NA,NA,NA,2083,2258,124,2386,2649,129,2472,2687,126
"Bulgaria",344,140,181,528,201,172,763,339,163,845,404,177
"Croatia",NA,NA,NA,NA,NA,NA,1495,1053,162,NA,NA,NA
"Cyprus",NA,NA,NA,1587,2402,158,3160,2807,151,2707,2438,150
"Czech Rep.",895,463,168,1076,654,165,1277,924,170,1327,845,167
"Denmark",NA,NA,NA,2315,3175,142,2773,3787,145,2806,3904,142
"Estonia",NA,NA,NA,808,516,157,1039,714,147,1162,878,159
"Finland",NA,NA,NA,2015,2350,160,2312,2762,159,2478,3031,159
"France",NA,NA,NA,1984,2198,137,1932,2171,137,2165,2331,139
"Germany",NA,NA,NA,2376,2442,137,2413,2521,133,2548,2586,130
"Greece",NA,NA,NA,2054,1763,157,1996,1837,151,1934,1653,156
"Hungary",736,394,186,983,587,176,1048,626,166,1232,709,170
"Iceland",NA,NA,NA,1938,2905,151,1735,1853,152,2015,2379,147
"Ireland",2403,2833,115,2998,3623,131,3123,3453,134,2934,3587,125
"Italy",NA,NA,NA,1928,1973,125,2189,2240,133,2136,2198,135
"Latvia",NA,NA,NA,738,424,159,578,525,146,918,644,159
"Lithuania",553,272,157,737,398,151,861,509,144,969,608,153
"Luxembourg",NA,NA,NA,3078,3455,142,3139,3797,138,3861,4650,150
"Macedonia",NA,NA,NA,NA,NA,NA,1305,505,168,1119,520,182
"Malta",NA,NA,NA,778,1250,154,1875,1371,152,2097,1696,152
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1216,674,175
"Netherlands",2002,2041,115,1722,1835,111,1951,2174,108,2115,2322,109
"Norway",NA,NA,NA,2584,3426,137,2470,3648,129,2808,4113,131
"Poland",876,518,156,1087,632,138,1325,792,130,1653,923,142
"Portugal",NA,NA,NA,1876,1525,156,1862,1544,156,1749,1424,160
"Romania",535,220,187,769,384,177,801,397,167,960,510,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1064,537,179
"Slovakia",688,299,175,623,425,163,1019,682,155,1241,841,164
"Slovenia",1997,1372,169,1960,1463,177,2102,1768,164,2100,1714,177
"Spain",1975,1683,159,2050,1851,147,2033,1912,144,2035,1879,144
"Sweden",NA,NA,NA,1840,2218,146,2043,2527,150,2427,3048,153
"Switzerland",NA,NA,NA,NA,NA,NA,2586,3709,120,2939,4375,122
"Turkey",NA,NA,NA,1446,832,190,2187,1351,189,2383,1425,192
"United Kingdom",2231,2562,130,2375,2680,130,2317,2449,132,2260,2746,134
