"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",2269,2264,182,2279,2396,178,2327,2568,172,2529,2676,178
"Belgium","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,2301,2494,165,2455,2726,159,2670,2902,167
"Bulgaria","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",386,157,182,517,197,177,677,300,167,754,361,183
"Croatia","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,1154,813,172,NA,NA,NA
"Cyprus","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",1453,1331,179,1207,1826,179,2119,1882,185,1811,1631,168
"Czech Rep.","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",753,389,169,979,595,173,1054,763,172,1226,781,172
"Denmark","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",2392,3081,152,2403,3296,143,2752,3758,136,2818,3921,142
"Estonia","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",672,352,186,859,549,177,1035,711,172,1294,979,186
"Finland","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",1847,2191,168,2168,2529,169,2436,2910,167,2664,3258,167
"France","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",1696,1702,146,1834,2032,152,1732,1947,151,1988,2141,151
"Germany","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",2351,2433,167,2610,2684,165,2599,2714,163,2858,2901,165
"Greece","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",1685,1406,192,NA,NA,NA,2170,1997,177,1862,1590,175
"Hungary","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",761,408,187,889,530,186,1067,637,170,1100,633,177
"Iceland","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,1899,2028,NA,2529,2985,201
"Ireland","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",2012,2373,164,2339,2827,172,2893,3199,168,2960,3619,168
"Italy","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",1689,1586,178,1863,1907,177,1915,1960,169,2120,2182,183
"Latvia","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",562,284,181,691,397,175,555,504,159,948,665,172
"Lithuania","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",610,300,179,888,480,175,879,520,166,1083,680,182
"Luxembourg","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",2486,2544,185,NA,NA,180,NA,NA,177,2701,3252,186
"Macedonia","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,810,314,169,748,348,182
"Malta","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",1741,1257,201,NA,NA,189,2034,1487,203,1834,1483,177
"Montenegro","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1174,651,185
"Netherlands","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",2285,2330,161,2256,2405,160,2437,2715,168,2443,2683,164
"Norway","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",2344,3424,163,2859,3791,165,2928,4325,163,3407,4990,163
"Poland","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",930,550,188,1084,630,180,1319,788,175,1642,917,189
"Portugal","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",957,733,172,1026,833,174,959,795,175,1000,814,174
"Romania","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",437,180,189,584,291,181,819,406,175,872,463,188
"Serbia","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1091,550,186
"Slovakia","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",706,307,172,687,469,171,978,655,165,1177,798,173
"Slovenia","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",1066,732,171,1156,863,179,1262,1062,165,1547,1263,178
"Spain","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",1706,1454,183,1782,1609,172,1825,1717,172,2035,1878,170
"Sweden","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",1765,2209,169,2141,2580,170,2345,2901,170,2723,3419,171
"Switzerland","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,3016,4325,174,3381,5034,177
"Turkey","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,1094,629,204,1042,644,205,1054,631,205
"United Kingdom","Industry and construction","Plant and machine operators and assemblers","From 40 to 49 years","Total",2237,2568,182,2533,2859,186,2289,2419,187,2249,2733,188
