"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",2324,2318,181,2337,2458,177,2320,2561,170,2674,2830,177
"Belgium","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",NA,NA,NA,2223,2410,166,2423,2690,161,2628,2857,169
"Bulgaria","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",377,153,183,517,197,176,690,306,166,782,374,183
"Croatia","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,1051,740,171,NA,NA,NA
"Cyprus","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",1575,1443,176,1203,1820,173,2132,1894,178,1738,1566,169
"Czech Rep.","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",768,397,171,1006,612,173,1081,783,173,1269,808,173
"Denmark","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",2416,3111,150,2446,3355,141,2794,3816,136,2916,4058,140
"Estonia","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",690,362,185,902,576,176,1060,728,171,1357,1026,185
"Finland","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",1867,2215,169,2189,2552,169,2425,2897,167,2625,3210,167
"France","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",1744,1750,148,1856,2056,152,1755,1972,151,2044,2202,152
"Germany","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",2456,2541,169,2703,2778,167,2679,2798,163,2999,3044,167
"Greece","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",1586,1324,186,2184,1875,186,2140,1970,174,1929,1648,173
"Hungary","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",734,394,186,860,514,185,1012,604,167,1118,643,176
"Iceland","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",2200,2881,201,NA,NA,NA,2239,2391,195,2587,3053,193
"Ireland","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",2229,2628,166,2665,3222,174,3039,3360,168,2979,3643,168
"Italy","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",1742,1636,179,1807,1849,175,1926,1971,169,2154,2217,184
"Latvia","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",520,262,178,666,382,173,529,481,155,944,662,166
"Lithuania","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",606,298,178,835,451,173,782,462,162,985,617,180
"Luxembourg","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",2476,2534,185,2363,2653,178,2396,2899,175,2674,3220,188
"Macedonia","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,776,301,168,769,358,182
"Malta","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",1642,1186,194,759,1220,188,2222,1625,200,1854,1500,182
"Montenegro","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1166,647,184
"Netherlands","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",2263,2308,162,2206,2351,161,2527,2815,167,2563,2814,166
"Norway","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",2406,3514,165,2885,3825,166,2996,4424,164,3336,4886,165
"Poland","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",903,534,189,1072,623,181,1201,718,173,1545,863,188
"Portugal","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",921,705,171,931,756,174,981,813,174,1027,836,174
"Romania","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",438,180,189,581,290,180,800,396,173,843,448,188
"Serbia","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,993,501,187
"Slovakia","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",708,308,173,684,466,173,1001,670,165,1210,820,174
"Slovenia","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",1113,765,173,1217,909,180,1312,1104,166,1558,1272,179
"Spain","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",1684,1436,183,1764,1593,172,1842,1733,173,2022,1867,171
"Sweden","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",1816,2273,171,2183,2630,172,2405,2975,173,2796,3510,173
"Switzerland","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,3013,4322,175,3479,5179,176
"Turkey","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",NA,NA,NA,1067,614,203,1147,709,203,1070,640,204
"United Kingdom","Industry and construction","Skilled manual workers","From 40 to 49 years","Total",2492,2862,184,2819,3181,187,2551,2696,186,2479,3012,186
