"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,2211,2325,185,2202,2430,177,2458,2601,184
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,2176,2359,164,2370,2631,158,2599,2825,164
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",374,152,183,496,189,177,671,298,166,726,347,182
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,1184,834,172,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,1172,1775,182,1914,1701,184,1638,1475,175
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",797,412,173,994,605,174,1044,756,173,1177,750,173
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,2361,3238,142,2751,3758,139,2759,3839,142
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,878,561,179,1032,709,171,1264,956,185
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,2150,2507,169,2441,2917,168,2616,3199,167
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,1834,2032,156,1800,2023,156,2028,2184,156
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,2418,2486,167,2390,2497,165,2498,2535,163
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,1981,1700,181,2114,1945,177,1822,1556,172
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",759,407,187,875,522,184,1054,630,169,1084,624,176
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,2222,3331,207,1856,1982,188,2376,2804,194
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",2033,2397,165,2419,2924,172,2794,3089,167,2757,3371,163
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,2031,2078,177,1945,1990,170,2038,2098,181
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,659,379,174,575,522,158,905,635,163
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",568,280,178,715,386,172,777,460,166,960,602,183
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,2451,2752,180,2426,2935,175,2579,3106,184
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,858,332,167,742,345,182
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,747,1201,NA,NA,NA,196,1829,1479,177
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,610,182
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",2252,2297,172,2092,2229,161,2314,2578,170,2126,2335,155
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,2731,3622,163,2805,4143,161,3138,4595,159
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",916,541,187,1041,605,180,1251,748,174,1530,854,188
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,1051,854,174,1023,848,175,1055,859,175
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",445,183,189,582,291,180,818,405,173,842,448,187
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,1030,520,186
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",705,306,171,676,461,170,956,640,165,1108,751,173
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",1088,747,171,1212,904,179,1293,1088,166,1540,1258,179
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",1691,1441,183,1756,1586,171,1818,1710,170,1959,1808,169
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",1726,2160,169,2096,2525,170,2275,2814,170,2626,3298,171
"Switzerland","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,2948,4228,172,3258,4850,172
"Turkey","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",NA,NA,NA,1014,583,204,988,610,204,988,591,202
"United Kingdom","Industry, construction and services (except public administration, defense, compulsory social security)","Plant and machine operators and assemblers","From 40 to 49 years","Total",2231,2561,187,2501,2823,190,2264,2392,188,2250,2733,190
