"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1538,1617,142,1545,1705,139,1637,1732,136
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1735,1880,137,1912,2123,134,1978,2150,132
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",218,88,180,322,123,170,466,207,161,537,257,179
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,1146,807,170,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,878,1328,169,1538,1366,173,1361,1226,169
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",613,317,169,725,441,167,829,600,168,905,577,167
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1812,2485,134,2229,3044,137,2123,2954,128
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,621,397,176,699,480,166,871,659,178
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1599,1865,157,1826,2181,157,1923,2352,156
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1529,1695,142,1556,1749,141,1774,1911,142
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1594,1638,126,1743,1820,129,1633,1657,122
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1664,1428,178,1483,1365,162,1357,1159,155
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",544,292,183,652,389,178,773,462,163,935,538,174
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1676,2513,158,1446,1544,149,1534,1810,138
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",1524,1797,131,1805,2182,144,2034,2249,139,1842,2252,126
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1567,1603,149,1622,1660,153,1670,1719,157
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,457,263,171,391,356,151,641,450,164
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",376,185,176,502,272,171,556,329,164,656,411,178
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1916,2150,151,1979,2394,151,2204,2655,158
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,923,357,169,726,338,179
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,622,1000,157,1457,1065,156,1512,1223,150
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,792,439,179
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",1480,1509,111,1400,1492,110,1447,1612,107,1632,1793,113
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,1975,2619,129,1904,2811,118,2123,3109,119
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",607,359,186,648,377,171,820,490,165,1031,576,179
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,847,688,169,988,819,165,964,785,168
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",281,116,186,408,204,178,497,246,168,544,289,181
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,773,390,183
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",627,273,174,494,337,168,723,484,159,893,605,169
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",1046,718,163,1116,833,179,1235,1039,166,1319,1077,174
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",1476,1258,171,1360,1229,155,1413,1329,155,1402,1294,150
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",1434,1794,143,1546,1863,137,1734,2145,142,1991,2500,145
"Switzerland","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,NA,NA,NA,2104,3017,130,2277,3390,126
"Turkey","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",NA,NA,NA,929,535,198,966,597,198,925,553,198
"United Kingdom","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Total",1159,1331,119,1272,1436,121,1372,1450,129,1289,1566,131
