"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,2332,2452,159,2365,2610,154,2684,2840,156
"Belgium",NA,NA,NA,2402,2604,149,2662,2955,146,2932,3187,150
"Bulgaria",379,154,182,535,204,174,779,346,163,903,432,180
"Croatia",NA,NA,NA,NA,NA,NA,1397,984,168,NA,NA,NA
"Cyprus",NA,NA,NA,1350,2044,168,2532,2249,167,2344,2112,164
"Czech Rep.",935,484,170,1234,750,170,1339,969,170,1518,967,170
"Denmark",NA,NA,NA,2634,3613,143,3153,4306,145,3239,4507,143
"Estonia",NA,NA,NA,966,617,169,1204,828,161,1453,1099,174
"Finland",NA,NA,NA,2268,2645,162,2599,3105,161,2787,3408,161
"France",NA,NA,NA,2211,2450,149,2292,2576,147,2597,2797,149
"Germany",NA,NA,NA,2687,2763,149,2780,2904,146,2954,2998,142
"Greece",NA,NA,NA,2054,1763,169,2065,1901,161,1916,1637,161
"Hungary",848,455,184,1034,617,179,1244,743,165,1378,793,170
"Iceland",NA,NA,NA,2293,3438,168,2126,2271,165,2552,3012,161
"Ireland",2449,2887,135,2984,3607,153,3364,3720,150,3090,3778,141
"Italy",NA,NA,NA,2068,2116,155,2204,2256,154,2306,2374,162
"Latvia",NA,NA,NA,758,436,166,624,567,150,1018,714,160
"Lithuania",628,309,168,819,443,163,880,520,154,1036,650,167
"Luxembourg",NA,NA,NA,3064,3440,163,3254,3937,160,3614,4352,170
"Macedonia",NA,NA,NA,NA,NA,NA,1210,468,168,1069,497,181
"Malta",NA,NA,NA,823,1322,167,2048,1497,166,2184,1767,161
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1292,717,178
"Netherlands",2289,2335,136,2160,2303,132,2452,2732,133,2702,2967,135
"Norway",NA,NA,NA,3053,4048,152,3114,4599,146,3481,5098,146
"Poland",988,584,178,1158,673,164,1396,834,156,1850,1033,171
"Portugal",NA,NA,NA,1564,1271,166,1650,1368,164,1641,1337,166
"Romania",507,209,187,683,341,178,902,447,169,968,514,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1151,581,183
"Slovakia",781,339,171,776,529,168,1151,770,161,1391,943,171
"Slovenia",1515,1041,171,1666,1244,178,1819,1530,166,2027,1655,178
"Spain",1989,1696,171,1960,1770,160,2017,1898,158,2126,1963,157
"Sweden",2172,2718,166,2262,2726,157,2510,3105,160,2937,3688,162
"Switzerland",NA,NA,NA,NA,NA,NA,3130,4488,148,3717,5533,148
"Turkey",NA,NA,NA,1335,768,199,1461,903,199,1454,870,199
"United Kingdom",2678,3076,150,2978,3361,150,2760,2917,148,2693,3272,150
