"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",4111,4102,164,3991,4196,158,3994,4408,160,4212,4457,162
"Belgium",3934,3939,170,4078,4421,164,4072,4521,154,4539,4933,162
"Bulgaria",676,274,182,1062,405,173,1560,692,164,1853,887,179
"Croatia",NA,NA,NA,NA,NA,NA,2776,1955,168,NA,NA,NA
"Cyprus",2748,2519,173,2441,3694,166,3707,3292,167,4154,3742,168
"Czech Rep.",1366,706,167,2054,1249,168,2350,1701,169,2903,1850,168
"Denmark",3937,5070,161,4143,5683,156,4341,5928,151,4531,6304,150
"Estonia",1272,666,176,1752,1119,169,2071,1423,162,2481,1876,177
"Finland",2894,3432,163,3243,3782,161,3567,4262,160,3961,4844,161
"France",4005,4018,150,3849,4265,165,3919,4404,161,4350,4684,162
"Germany",4390,4543,166,4715,4847,163,4778,4991,161,5231,5309,160
"Greece",2642,2205,168,3070,2635,169,3237,2980,166,2940,2511,167
"Hungary",1899,1018,183,2555,1525,179,2993,1788,164,2982,1715,168
"Iceland",NA,NA,NA,3424,5133,170,3330,3557,166,4055,4786,163
"Ireland",4307,5078,149,4439,5366,162,4925,5445,158,4798,5867,154
"Italy",5530,5194,171,3125,3197,168,3731,3818,163,3561,3666,175
"Latvia",915,462,174,1157,665,165,982,892,151,1766,1238,154
"Lithuania",869,428,168,991,536,162,1244,736,153,1411,885,165
"Luxembourg",5046,5164,170,4971,5580,166,4973,6016,164,4788,5766,174
"Macedonia",NA,NA,NA,NA,NA,NA,2143,830,168,1988,925,182
"Malta",2605,1881,174,1281,2059,167,2909,2127,165,3084,2494,167
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,2643,1466,178
"Netherlands",3421,3489,155,3686,3928,149,3816,4251,150,4139,4546,156
"Norway",3723,5438,160,4295,5694,161,4326,6388,159,4843,7093,159
"Poland",1638,969,171,1860,1081,169,2180,1302,159,2883,1610,176
"Portugal",2703,2070,168,3454,2806,165,3216,2665,163,3062,2494,165
"Romania",963,396,184,1307,652,172,1653,819,164,1870,994,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,1000,184
"Slovakia",1370,596,173,1433,976,166,2227,1490,161,2463,1670,174
"Slovenia",3551,2439,176,3616,2699,176,3347,2815,165,3466,2830,178
"Spain",4117,3509,175,3353,3029,165,3270,3076,167,3374,3115,168
"Sweden",3154,3947,166,3538,4263,166,3569,4414,167,4109,5160,170
"Switzerland",NA,NA,NA,NA,NA,NA,5851,8391,169,5394,8030,162
"Turkey",NA,NA,NA,2947,1695,192,2992,1849,187,3930,2350,188
"United Kingdom",4452,5112,159,4866,5492,157,4343,4589,157,4046,4915,157
