"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2169,2164,189,2106,2214,184,2079,2295,178,2448,2590,185
"Belgium",NA,NA,NA,2012,2181,163,2238,2485,157,2487,2703,159
"Bulgaria",352,142,183,437,166,175,683,303,164,763,365,181
"Croatia",NA,NA,NA,NA,NA,NA,1254,883,170,NA,NA,NA
"Cyprus",1701,1558,176,1347,2038,179,2005,1781,178,1723,1552,175
"Czech Rep.",898,464,177,1079,656,175,1065,771,175,1134,722,175
"Denmark",2026,2609,131,2355,3230,142,2829,3863,144,2782,3870,141
"Estonia",669,350,188,989,632,182,1073,737,170,1306,987,183
"Finland",1819,2157,169,2086,2433,169,2399,2866,169,2483,3037,168
"France",1814,1820,153,1810,2006,161,1882,2115,160,2099,2260,159
"Germany",2133,2207,168,2152,2212,166,2197,2295,166,2274,2308,161
"Greece",1797,1500,176,2569,2205,180,2162,1990,176,1795,1534,171
"Hungary",748,401,185,840,502,181,1017,608,166,989,569,170
"Iceland",2472,3237,202,2573,3858,202,NA,NA,NA,2506,2958,198
"Ireland",2157,2544,169,2609,3154,173,2864,3167,171,2639,3227,151
"Italy",1841,1730,173,2260,2312,175,1595,1633,153,1535,1580,154
"Latvia",493,249,177,656,377,172,603,548,156,893,626,160
"Lithuania",512,252,172,595,322,168,744,440,165,847,531,180
"Luxembourg",2396,2452,180,2433,2731,173,2378,2876,168,2575,3101,182
"Macedonia",NA,NA,NA,NA,NA,NA,992,384,161,738,344,180
"Malta",1474,1065,172,785,1261,186,1960,1433,181,1869,1512,174
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1036,574,180
"Netherlands",2228,2272,174,1995,2127,161,2234,2489,161,2071,2275,152
"Norway",2173,3175,160,2586,3429,162,2715,4010,160,2833,4150,155
"Poland",876,518,187,954,554,179,1118,668,171,1326,740,186
"Portugal",1032,790,173,1120,910,175,1169,969,175,1257,1024,175
"Romania",460,189,188,575,287,178,820,406,168,785,417,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,970,489,185
"Slovakia",740,321,169,676,461,171,950,636,165,1028,697,174
"Slovenia",1255,862,173,1400,1045,179,1415,1190,168,1555,1270,181
"Spain",1683,1434,183,1744,1575,170,1873,1762,169,1891,1746,168
"Sweden",1663,2081,169,2016,2430,171,2217,2742,171,2561,3216,174
"Switzerland",NA,NA,NA,NA,NA,NA,2839,4072,170,3147,4685,164
"Turkey",NA,NA,NA,994,572,203,968,598,201,986,590,197
"United Kingdom",2449,2813,191,2633,2972,190,2363,2497,187,2336,2838,187
