"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2161,2156,159,2263,2379,156,2307,2546,153,2617,2770,154
"Belgium",2436,2439,161,2521,2733,154,2723,3023,146,3022,3284,152
"Bulgaria",395,160,180,564,215,172,829,368,160,983,470,179
"Croatia",NA,NA,NA,NA,NA,NA,1508,1062,169,NA,NA,NA
"Cyprus",1892,1734,171,1364,2064,171,2528,2246,170,2358,2124,168
"Czech Rep.",1014,524,170,1377,837,170,1438,1041,169,1631,1039,169
"Denmark",2633,3391,142,2846,3904,142,3416,4665,145,3477,4839,141
"Estonia",770,404,179,1055,674,172,1302,895,165,1605,1214,176
"Finland",2013,2387,160,2334,2722,160,2674,3194,159,2865,3503,159
"France",2208,2216,142,2250,2494,151,2442,2745,149,2827,3045,152
"Germany",2365,2447,147,2550,2622,144,2669,2788,143,2769,2810,137
"Greece",NA,NA,NA,2067,1774,170,2043,1880,164,1882,1607,160
"Hungary",929,498,182,1094,653,178,1392,831,163,1494,859,168
"Iceland",2062,2700,163,2650,3973,172,2492,2662,167,3160,3729,165
"Ireland",2457,2897,144,2885,3487,156,3484,3852,154,3016,3688,141
"Italy",2133,2003,165,2178,2228,160,2195,2246,155,2255,2321,162
"Latvia",605,305,174,772,444,169,684,621,152,1090,764,160
"Lithuania",663,326,169,799,432,165,874,517,158,1048,658,170
"Luxembourg",3028,3099,167,3293,3697,161,3521,4259,159,3769,4539,170
"Macedonia",NA,NA,NA,NA,NA,NA,1378,534,166,1123,522,180
"Malta",1797,1298,170,870,1398,164,2133,1560,165,2279,1844,157
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1347,747,178
"Netherlands",2369,2416,143,2327,2480,137,2597,2893,138,2882,3165,142
"Norway",2671,3902,152,3139,4162,152,3353,4951,151,3705,5426,150
"Poland",1049,621,184,1177,684,172,1502,897,164,2028,1133,180
"Portugal",1455,1114,162,1763,1433,167,1797,1490,163,1819,1482,164
"Romania",535,220,185,720,360,176,1003,497,167,1037,551,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1271,641,184
"Slovakia",815,354,167,855,583,168,1215,813,162,1473,998,172
"Slovenia",1516,1041,170,1711,1277,178,1863,1568,166,2097,1712,176
"Spain",2031,1731,169,1890,1707,159,1936,1822,157,2071,1912,156
"Sweden",2241,2804,162,2653,3197,163,2858,3535,164,3320,4168,165
"Switzerland",NA,NA,NA,NA,NA,NA,3317,4756,150,3922,5838,148
"Turkey",NA,NA,NA,1449,833,198,1508,932,197,1542,922,197
"United Kingdom",2942,3378,155,3399,3836,158,3027,3199,154,2927,3556,155
