"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2335,2330,178,2300,2418,173,2365,2610,167,2837,3002,176
"Belgium",NA,NA,NA,2125,2303,161,2396,2660,158,2617,2844,166
"Bulgaria",374,151,183,508,194,175,713,316,166,818,392,183
"Croatia",NA,NA,NA,NA,NA,NA,1128,794,170,NA,NA,NA
"Cyprus",1711,1568,174,1291,1953,169,2526,2243,176,1915,1725,168
"Czech Rep.",795,411,171,1018,619,173,1071,775,173,1258,801,173
"Denmark",2448,3152,146,2475,3394,141,2817,3848,138,2924,4069,140
"Estonia",659,345,185,878,561,175,1030,708,169,1287,974,183
"Finland",1844,2187,167,2169,2529,168,2362,2822,166,2538,3104,167
"France",1836,1842,145,1892,2097,152,1817,2042,150,2100,2261,151
"Germany",2433,2518,164,2588,2661,161,2551,2665,158,2960,3004,165
"Greece",1918,1601,181,2520,2163,182,2588,2382,172,2256,1927,167
"Hungary",750,402,184,845,505,182,976,583,165,1052,606,171
"Iceland",2046,2679,187,2593,3888,197,2231,2383,188,2646,3123,190
"Ireland",2868,3382,171,3165,3826,176,3442,3806,162,2953,3611,162
"Italy",1764,1657,178,1912,1957,174,1790,1831,159,1911,1967,167
"Latvia",520,262,178,669,384,172,550,500,154,935,656,167
"Lithuania",599,295,177,823,445,171,NA,NA,NA,922,578,177
"Luxembourg",2594,2654,180,2516,2825,171,2492,3014,166,2805,3378,186
"Macedonia",NA,NA,NA,NA,NA,NA,903,350,169,804,374,181
"Malta",1621,1171,190,769,1236,184,1869,1367,187,1910,1545,186
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1348,748,182
"Netherlands",2311,2357,160,2160,2302,157,2567,2860,161,2591,2845,163
"Norway",2377,3473,164,2859,3790,166,2992,4419,162,3245,4753,162
"Poland",895,529,188,1011,588,178,1119,669,170,1458,814,186
"Portugal",1015,777,170,1083,880,174,1114,923,174,1124,915,174
"Romania",435,179,190,596,297,180,818,406,171,875,465,187
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1046,528,187
"Slovakia",710,309,172,670,457,173,988,661,165,1188,806,175
"Slovenia",1178,809,169,1260,941,181,1344,1130,165,1571,1283,179
"Spain",1847,1574,184,1955,1765,172,2053,1931,172,2159,1993,171
"Sweden",1834,2295,172,2154,2595,173,2394,2961,174,2801,3518,174
"Switzerland",NA,NA,NA,NA,NA,NA,3079,4416,174,3603,5363,172
"Turkey",NA,NA,NA,1173,675,199,1702,1052,194,939,562,198
"United Kingdom",2554,2933,181,2874,3244,183,2647,2797,181,2584,3139,180
