"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",3105,3098,158,3006,3161,155,3095,3416,154,3452,3653,157
"Belgium",3145,3149,164,3066,3324,154,3362,3732,147,3907,4247,158
"Bulgaria",491,199,181,673,256,172,884,392,162,999,478,179
"Croatia",NA,NA,NA,NA,NA,NA,1785,1257,169,NA,NA,NA
"Cyprus",2610,2392,170,1626,2461,168,3144,2792,168,2720,2450,170
"Czech Rep.",1129,583,168,1487,904,168,1537,1112,168,1744,1111,168
"Denmark",2874,3701,149,3115,4273,149,3722,5083,151,3951,5497,149
"Estonia",862,452,179,1057,675,173,1235,849,164,1483,1121,179
"Finland",2124,2520,159,2591,3021,160,2920,3489,159,3149,3851,161
"France",2949,2959,144,3103,3439,158,2985,3354,153,3370,3629,153
"Germany",3044,3150,150,3258,3349,146,3369,3519,146,3655,3709,150
"Greece",2602,2172,175,2848,2445,174,2846,2619,166,2681,2290,164
"Hungary",1262,676,182,1403,838,178,1588,948,164,1997,1149,169
"Iceland",2062,2700,163,2569,3851,168,2588,2764,167,3120,3683,161
"Ireland",2689,3170,148,3196,3863,154,3719,4111,153,3124,3820,144
"Italy",2803,2633,173,2929,2997,168,2945,3014,163,3115,3206,173
"Latvia",698,352,176,863,496,168,715,650,151,1116,783,162
"Lithuania",862,425,173,1063,574,166,1032,610,157,1209,759,170
"Luxembourg",4078,4174,168,4417,4958,164,4454,5387,162,4880,5877,174
"Macedonia",NA,NA,NA,NA,NA,NA,1528,592,169,1271,591,182
"Malta",2019,1458,175,978,1572,167,2262,1654,169,2353,1903,165
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1645,912,180
"Netherlands",3006,3065,147,2841,3028,142,3057,3406,143,3370,3701,146
"Norway",2816,4114,154,3411,4523,154,3755,5545,153,4310,6313,154
"Poland",1395,825,184,1553,902,169,1649,985,164,2076,1159,179
"Portugal",2088,1599,167,2273,1847,165,2389,1981,165,2444,1991,166
"Romania",749,308,185,1003,501,175,1289,638,166,1254,666,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1444,728,184
"Slovakia",937,407,170,1016,693,166,1373,919,160,1589,1078,171
"Slovenia",2063,1417,172,2202,1644,178,2205,1855,167,2362,1929,177
"Spain",3034,2586,177,2770,2502,166,2653,2496,165,2679,2473,163
"Sweden",2428,3038,164,2857,3442,165,3120,3860,167,3632,4560,168
"Switzerland",NA,NA,NA,NA,NA,NA,3609,5176,153,4456,6633,154
"Turkey",NA,NA,NA,2316,1332,194,2384,1473,191,2189,1309,193
"United Kingdom",2991,3435,149,3354,3786,151,3159,3338,153,3120,3791,154
