"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2506,2500,163,2443,2568,160,2535,2798,157,2928,3098,161
"Belgium",2704,2708,166,2631,2852,156,2859,3174,147,3231,3512,156
"Bulgaria",398,161,181,539,206,173,735,326,162,823,394,180
"Croatia",NA,NA,NA,NA,NA,NA,1473,1037,170,NA,NA,NA
"Cyprus",1905,1746,172,1329,2012,171,2583,2294,171,2257,2033,169
"Czech Rep.",931,481,170,1188,722,170,1239,897,170,1418,904,170
"Denmark",2540,3271,145,2717,3726,144,3261,4454,144,3419,4758,142
"Estonia",703,368,180,891,569,172,1061,729,165,1291,976,178
"Finland",1943,2305,161,2337,2725,162,2644,3159,161,2878,3520,162
"France",2372,2380,142,2561,2838,153,2481,2789,148,2860,3080,150
"Germany",2570,2660,150,2700,2776,147,2780,2904,147,3026,3071,146
"Greece",2122,1771,176,2317,1989,175,2453,2258,166,2242,1916,164
"Hungary",960,515,182,1072,640,179,1233,736,164,1319,759,169
"Iceland",1963,2570,177,2435,3650,179,2328,2487,176,2839,3351,174
"Ireland",2439,2876,155,2845,3439,157,3423,3784,156,2901,3547,147
"Italy",2313,2172,173,2396,2451,169,2451,2508,162,2645,2722,172
"Latvia",580,292,177,719,413,169,603,548,151,958,672,160
"Lithuania",673,331,174,864,467,168,871,515,159,1004,629,172
"Luxembourg",3130,3203,169,3345,3755,165,3409,4124,163,3792,4567,175
"Macedonia",NA,NA,NA,NA,NA,NA,1249,484,169,1026,477,181
"Malta",1749,1263,183,819,1316,174,1992,1457,173,2065,1670,169
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1498,831,180
"Netherlands",2588,2640,149,2410,2569,142,2699,3006,145,2919,3206,145
"Norway",2600,3798,154,3125,4143,155,3414,5042,154,3896,5706,154
"Poland",1144,676,186,1243,723,172,1351,807,167,1697,948,182
"Portugal",1385,1060,167,1526,1240,170,1669,1384,165,1695,1381,165
"Romania",563,232,188,727,363,178,981,486,169,982,522,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1231,621,185
"Slovakia",813,353,170,802,547,169,1127,754,162,1327,899,172
"Slovenia",1624,1115,169,1665,1242,179,1755,1476,165,1941,1585,177
"Spain",2232,1902,175,2139,1932,164,2174,2045,162,2250,2077,159
"Sweden",2128,2663,165,2505,3018,165,2746,3396,167,3216,4038,168
"Switzerland",NA,NA,NA,NA,NA,NA,3299,4731,157,4013,5974,156
"Turkey",NA,NA,NA,1582,910,196,1720,1063,194,1359,813,195
"United Kingdom",2587,2971,160,2969,3351,163,2797,2956,158,2768,3363,159
